width,height,price
500,500,148.12
500,600,151.26
500,700,158.71
500,800,166.05
500,900,173.99
500,1000,181.53
500,1100,188.93
500,1200,196.63
500,1300,204.07
500,1400,211.87
500,1500,219.53
500,1600,227.34
500,1700,234.93
500,1800,246.31
600,500,157.76
600,600,161.21
600,700,169.17
600,800,176.58
600,900,184.82
600,1000,192.65
600,1100,200.35
600,1200,208.34
600,1300,216.08
600,1400,224.17
600,1500,232.12
600,1600,240.23
600,1700,248.11
600,1800,259.79
700,500,165.46
700,600,169.43
700,700,177.46
700,800,185.17
700,900,193.7
700,1000,201.83
700,1100,209.82
700,1200,218.1
700,1300,226.13
700,1400,234.53
700,1500,242.77
700,1600,251.18
700,1700,259.35
700,1800,271.32
800,500,173.48
800,600,177.51
800,700,185.83
800,800,193.83
800,900,202.66
800,1000,211.08
800,1100,219.37
800,1200,227.95
800,1300,236.28
800,1400,244.96
800,1500,253.5
800,1600,262.2
800,1700,270.67
800,1800,282.94
900,500,0
900,600,189.18
900,700,197.8
900,800,206.1
900,900,215.22
900,1000,223.93
900,1100,232.51
900,1200,241.39
900,1300,250.01
900,1400,258.99
900,1500,267.83
900,1600,276.82
900,1700,285.59
900,1800,298.15
1000,500,0
1000,600,197.21
1000,700,206.13
1000,800,214.72
1000,900,224.14
1000,1000,233.15
1000,1100,242.03
1000,1200,251.19
1000,1300,260.11
1000,1400,269.39
1000,1500,278.52
1000,1600,287.81
1000,1700,296.87
1000,1800,309.73
1100,500,0
1100,600,0
1100,700,214.38
1100,800,223.26
1100,900,232.98
1100,1000,242.28
1100,1100,251.45
1100,1200,260.92
1100,1300,270.13
1100,1400,279.7
1100,1500,289.12
1100,1600,298.71
1100,1700,308.06
1100,1800,321.22
1200,500,0
1200,600,0
1200,700,223.62
1200,800,232.8
1200,900,242.81
1200,1000,252.41
1200,1100,261.87
1200,1200,271.63
1200,1300,281.14
1200,1400,291.01
1200,1500,300.72
1200,1600,310.6
1200,1700,320.26
1200,1800,333.7
1300,500,0
1300,600,0
1300,700,0
1300,800,241.39
1300,900,251.69
1300,1000,261.58
1300,1100,271.34
1300,1200,281.4
1300,1300,291.2
1300,1400,301.36
1300,1500,311.37
1300,1600,321.55
1300,1700,331.49
1300,1800,345.24
1400,500,0
1400,600,0
1400,700,0
1400,800,249.93
1400,900,260.52
1400,1000,270.72
1400,1100,280.77
1400,1200,291.12
1400,1300,301.22
1400,1400,311.67
1400,1500,321.98
1400,1600,332.45
1400,1700,342.69
1400,1800,356.73
1500,500,0
1500,600,0
1500,700,0
1500,800,0
1500,900,269.49
1500,1000,279.98
1500,1100,290.33
1500,1200,300.97
1500,1300,311.36
1500,1400,322.12
1500,1500,332.72
1500,1600,343.48
1500,1700,0
1500,1800,0
1600,500,0
1600,600,0
1600,700,0
1600,800,0
1600,900,0
1600,1000,0
1600,1100,0
1600,1200,0
1600,1300,0
1600,1400,0
1600,1500,0
1600,1600,0
1600,1700,0
1600,1800,0
1700,500,0
1700,600,0
1700,700,0
1700,800,0
1700,900,0
1700,1000,0
1700,1100,0
1700,1200,0
1700,1300,0
1700,1400,0
1700,1500,0
1700,1600,0
1700,1700,0
1700,1800,0
1800,500,0
1800,600,0
1800,700,0
1800,800,0
1800,900,0
1800,1000,0
1800,1100,0
1800,1200,0
1800,1300,0
1800,1400,0
1800,1500,0
1800,1600,0
1800,1700,0
1800,1800,0
1900,500,0
1900,600,0
1900,700,0
1900,800,0
1900,900,0
1900,1000,0
1900,1100,0
1900,1200,0
1900,1300,0
1900,1400,0
1900,1500,0
1900,1600,0
1900,1700,0
1900,1800,0
2000,500,0
2000,600,0
2000,700,0
2000,800,0
2000,900,0
2000,1000,0
2000,1100,0
2000,1200,0
2000,1300,0
2000,1400,0
2000,1500,0
2000,1600,0
2000,1700,0
2000,1800,0
