width,height,price
500,500,139.1
500,600,148.47
500,700,155.91
500,800,163.66
500,900,171.07
500,1000,204.42
500,1100,211.82
500,1200,219.26
500,1300,226.7
500,1400,242.61
500,1500,250.26
500,1600,0
500,1700,0
500,1800,0
600,500,148.05
600,600,157.72
600,700,165.68
600,800,173.5
600,900,181.2
600,1000,214.37
600,1100,222.06
600,1200,229.8
600,1300,237.54
600,1400,253.74
600,1500,261.69
600,1600,0
600,1700,0
600,1800,0
700,500,155.75
700,600,165.94
700,700,173.97
700,800,182.09
700,900,190.08
700,1000,223.54
700,1100,231.53
700,1200,239.57
700,1300,247.6
700,1400,264.1
700,1500,272.34
700,1600,0
700,1700,0
700,1800,0
800,500,163.98
800,600,174.24
800,700,182.56
800,800,190.97
800,900,199.26
800,1000,215.5
800,1100,223.78
800,1200,233.06
800,1300,241.39
800,1400,249.67
800,1500,258.21
800,1600,0
800,1700,0
800,1800,0
900,500,171.64
900,600,182.19
900,700,190.81
900,800,199.52
900,900,208.1
900,1000,226.52
900,1100,235.1
900,1200,244.67
900,1300,253.3
900,1400,261.88
900,1500,270.71
900,1600,0
900,1700,0
900,1800,0
1000,500,185.03
1000,600,195.88
1000,700,204.8
1000,800,213.8
1000,900,222.67
1000,1000,241.23
1000,1100,250.1
1000,1200,259.97
1000,1300,268.89
1000,1400,277.76
1000,1500,286.89
1000,1600,0
1000,1700,0
1000,1800,0
1100,500,192.69
1100,600,203.83
1100,700,213.04
1100,800,222.34
1100,900,231.51
1100,1000,250.36
1100,1100,259.53
1100,1200,269.69
1100,1300,278.9
1100,1400,288.07
1100,1500,297.49
1100,1600,0
1100,1700,0
1100,1800,0
1200,500,201.4
1200,600,212.84
1200,700,222.35
1200,800,231.93
1200,900,241.4
1200,1000,259.53
1200,1100,269
1200,1200,279.45
1200,1300,288.96
1200,1400,298.43
1200,1500,308.14
1200,1600,0
1200,1700,0
1200,1800,0
1300,500,209.1
1300,600,220.83
1300,700,230.63
1300,800,240.52
1300,900,250.28
1300,1000,268.71
1300,1100,278.47
1300,1200,289.22
1300,1300,299.02
1300,1400,308.78
1300,1500,318.79
1300,1600,0
1300,1700,0
1300,1800,0
1400,500,220.16
1400,600,232.19
1400,700,242.28
1400,800,252.46
1400,900,262.51
1400,1000,280.77
1400,1100,290.83
1400,1200,301.88
1400,1300,311.97
1400,1400,322.03
1400,1500,332.33
1400,1600,0
1400,1700,0
1400,1800,0
1500,500,227.95
1500,600,240.27
1500,700,250.66
1500,800,261.14
1500,900,271.48
1500,1000,290.04
1500,1100,300.39
1500,1200,311.73
1500,1300,322.12
1500,1400,332.47
1500,1500,343.07
1500,1600,0
1500,1700,0
1500,1800,0
1600,500,236.86
1600,600,249.48
1600,700,260.16
1600,800,270.93
1600,900,281.57
1600,1000,299.17
1600,1100,309.81
1600,1200,321.45
1600,1300,332.14
1600,1400,342.78
1600,1500,353.68
1600,1600,0
1600,1700,0
1600,1800,0
1700,500,244.56
1700,600,257.47
1700,700,268.45
1700,800,279.52
1700,900,290.45
1700,1000,308.35
1700,1100,319.28
1700,1200,331.22
1700,1300,342.2
1700,1400,353.14
1700,1500,364.33
1700,1600,0
1700,1700,0
1700,1800,0
1800,500,254.25
1800,600,267.46
1800,700,278.73
1800,800,290.09
1800,900,301.32
1800,1000,320.82
1800,1100,332.05
1800,1200,0
1800,1300,0
1800,1400,0
1800,1500,0
1800,1600,0
1800,1700,0
1800,1800,0
1900,500,261.91
1900,600,275.41
1900,700,286.98
1900,800,298.63
1900,900,310.16
1900,1000,329.95
1900,1100,341.48
1900,1200,0
1900,1300,0
1900,1400,0
1900,1500,0
1900,1600,0
1900,1700,0
1900,1800,0
2000,500,270.4
2000,600,284.2
2000,700,296.06
2000,800,308.01
2000,900,319.84
2000,1000,339.17
2000,1100,0
2000,1200,0
2000,1300,0
2000,1400,0
2000,1500,0
2000,1600,0
2000,1700,0
2000,1800,0
