width,height,price
500,500,160.51
500,600,164.95
500,700,173.91
500,800,182.76
500,900,192.22
500,1000,201.27
500,1100,210.18
500,1200,219.39
500,1300,228.35
500,1400,237.66
500,1500,246.91
500,1600,256.24
500,1700,265.34
500,1800,278.24
600,500,171.45
600,600,176.22
600,700,185.74
600,800,194.69
600,900,204.48
600,1000,213.86
600,1100,223.1
600,1200,232.64
600,1300,241.92
600,1400,251.57
600,1500,261.15
600,1600,270.81
600,1700,280.24
600,1800,293.46
700,500,180.66
700,600,185.99
700,700,195.61
700,800,204.89
700,900,215.01
700,1000,224.72
700,1100,234.29
700,1200,244.16
700,1300,253.77
700,1400,263.75
700,1500,273.65
700,1600,283.64
700,1700,293.4
700,1800,306.95
800,500,190.19
800,600,195.62
800,700,205.56
800,800,215.18
800,900,225.62
800,1000,235.66
800,1100,245.56
800,1200,255.76
800,1300,265.7
800,1400,276.0
800,1500,286.24
800,1600,296.56
800,1700,306.65
800,1800,320.53
900,500,0.0
900,600,208.84
900,700,219.11
900,800,229.06
900,900,239.83
900,1000,250.2
900,1100,260.43
900,1200,270.95
900,1300,281.22
900,1400,291.86
900,1500,302.42
900,1600,313.07
900,1700,323.49
900,1800,337.7
1000,500,0.0
1000,600,218.42
1000,700,229.02
1000,800,239.3
1000,900,250.4
1000,1000,261.1
1000,1100,271.66
1000,1200,282.51
1000,1300,293.11
1000,1400,304.07
1000,1500,314.97
1000,1600,325.94
1000,1700,336.69
1000,1800,351.23
1100,500,0.0
1100,600,0.0
1100,700,238.85
1100,800,249.46
1100,900,260.89
1100,1000,271.91
1100,1100,282.8
1100,1200,293.98
1100,1300,304.91
1100,1400,316.21
1100,1500,327.43
1100,1600,338.74
1100,1700,349.81
1100,1800,364.68
1200,500,0.0
1200,600,0.0
1200,700,249.68
1200,800,260.61
1200,900,272.37
1200,1000,283.72
1200,1100,294.94
1200,1200,306.45
1200,1300,317.71
1200,1400,329.34
1200,1500,340.89
1200,1600,352.52
1200,1700,363.93
1200,1800,379.13
1300,500,0.0
1300,600,0.0
1300,700,0.0
1300,800,270.81
1300,900,282.9
1300,1000,294.58
1300,1100,306.13
1300,1200,317.97
1300,1300,329.56
1300,1400,341.51
1300,1500,353.4
1300,1600,365.36
1300,1700,377.09
1300,1800,392.62
1400,500,0.0
1400,600,0.0
1400,700,0.0
1400,800,280.97
1400,900,293.39
1400,1000,305.4
1400,1100,317.28
1400,1200,329.45
1400,1300,341.37
1400,1400,353.65
1400,1500,365.86
1400,1600,378.15
1400,1700,390.21
1400,1800,406.07
1500,500,0.0
1500,600,0.0
1500,700,0.0
1500,800,0.0
1500,900,304.01
1500,1000,316.35
1500,1100,328.55
1500,1200,341.06
1500,1300,353.3
1500,1400,365.91
1500,1500,378.45
1500,1600,391.08
1500,1700,0.0
1500,1800,0.0
1600,500,0.0
1600,600,0.0
1600,700,0.0
1600,800,0.0
1600,900,0.0
1600,1000,0.0
1600,1100,0.0
1600,1200,0.0
1600,1300,0.0
1600,1400,0.0
1600,1500,0.0
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,0.0
1700,600,0.0
1700,700,0.0
1700,800,0.0
1700,900,0.0
1700,1000,0.0
1700,1100,0.0
1700,1200,0.0
1700,1300,0.0
1700,1400,0.0
1700,1500,0.0
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,0.0
1800,600,0.0
1800,700,0.0
1800,800,0.0
1800,900,0.0
1800,1000,0.0
1800,1100,0.0
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,0.0
1900,600,0.0
1900,700,0.0
1900,800,0.0
1900,900,0.0
1900,1000,0.0
1900,1100,0.0
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,0.0
2000,600,0.0
2000,700,0.0
2000,800,0.0
2000,900,0.0
2000,1000,0.0
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
