width,height,price
500,500,138.8
500,600,140.4
500,700,146.65
500,800,152.8
500,900,159.55
500,1000,165.9
500,1100,172.1
500,1200,178.61
500,1300,184.86
500,1400,191.56
500,1500,197.85
500,1600,204.48
500,1700,210.87
500,1800,221.06
600,500,146.77
600,600,148.65
600,700,155.4
600,800,161.6
600,900,168.62
600,1000,175.25
600,1100,181.73
600,1200,188.51
600,1300,195.03
600,1400,202.01
600,1500,208.58
600,1600,215.47
600,1700,222.14
600,1800,232.61
700,500,153.18
700,600,155.56
700,700,162.36
700,800,168.83
700,900,176.13
700,1000,183.03
700,1100,189.78
700,1200,196.84
700,1300,203.64
700,1400,210.89
700,1500,217.73
700,1600,224.9
700,1700,231.85
700,1800,242.59
800,500,159.9
800,600,162.32
800,700,169.4
800,800,176.14
800,900,183.72
800,1000,190.89
800,1100,197.92
800,1200,205.25
800,1300,212.33
800,1400,219.85
800,1500,226.97
800,1600,234.42
800,1700,241.64
800,1800,252.65
900,500,0.0
900,600,172.68
900,700,180.03
900,800,187.05
900,900,194.9
900,1000,202.35
900,1100,209.65
900,1200,217.26
900,1300,224.61
900,1400,232.41
900,1500,239.8
900,1600,247.52
900,1700,255.02
900,1800,266.31
1000,500,0.0
1000,600,179.4
1000,700,187.03
1000,800,194.33
1000,900,202.45
1000,1000,210.17
1000,1100,217.75
1000,1200,225.63
1000,1300,233.25
1000,1400,241.33
1000,1500,249.0
1000,1600,256.99
1000,1700,264.76
1000,1800,276.33
1100,500,0.0
1100,600,0.0
1100,700,193.94
1100,800,201.51
1100,900,209.91
1100,1000,217.91
1100,1100,225.77
1100,1200,233.92
1100,1300,241.82
1100,1400,250.17
1100,1500,258.11
1100,1600,266.38
1100,1700,282.09
1100,1800,294.25
1200,500,0.0
1200,600,0.0
1200,700,201.85
1200,800,209.7
1200,900,218.37
1200,1000,226.64
1200,1100,234.77
1200,1200,243.2
1200,1300,251.37
1200,1400,260.0
1200,1500,275.56
1200,1600,284.43
1200,1700,293.07
1200,1800,305.5
1300,500,0.0
1300,600,0.0
1300,700,0.0
1300,800,222.36
1300,900,231.63
1300,1000,240.49
1300,1100,249.22
1300,1200,258.24
1300,1300,267.01
1300,1400,276.23
1300,1500,285.04
1300,1600,294.18
1300,1700,303.09
1300,1800,315.8
1400,500,0.0
1400,600,0.0
1400,700,0.0
1400,800,229.87
1400,900,239.41
1400,1000,248.55
1400,1100,257.55
1400,1200,266.85
1400,1300,275.89
1400,1400,285.38
1400,1500,294.47
1400,1600,303.89
1400,1700,313.07
1400,1800,326.06
1500,500,0.0
1500,600,0.0
1500,700,0.0
1500,800,0.0
1500,900,247.33
1500,1000,256.74
1500,1100,266.02
1500,1200,275.59
1500,1300,284.9
1500,1400,294.67
1500,1500,304.03
1500,1600,351.5
1500,1700,0.0
1500,1800,0.0
1600,500,0.0
1600,600,0.0
1600,700,0.0
1600,800,0.0
1600,900,0.0
1600,1000,0.0
1600,1100,0.0
1600,1200,0.0
1600,1300,0.0
1600,1400,0.0
1600,1500,0.0
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,0.0
1700,600,0.0
1700,700,0.0
1700,800,0.0
1700,900,0.0
1700,1000,0.0
1700,1100,0.0
1700,1200,0.0
1700,1300,0.0
1700,1400,0.0
1700,1500,0.0
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,0.0
1800,600,0.0
1800,700,0.0
1800,800,0.0
1800,900,0.0
1800,1000,0.0
1800,1100,0.0
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,0.0
1900,600,0.0
1900,700,0.0
1900,800,0.0
1900,900,0.0
1900,1000,0.0
1900,1100,0.0
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,0.0
2000,600,0.0
2000,700,0.0
2000,800,0.0
2000,900,0.0
2000,1000,0.0
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
