width,height,price
500,500,172.51
500,600,175.5
500,700,184.46
500,800,193.32
500,900,203.62
500,1000,210.87
500,1100,219.78
500,1200,228.99
500,1300,237.95
500,1400,247.55
500,1500,256.8
500,1600,266.6
500,1700,275.7
500,1800,287.49
600,500,180.27
600,600,183.6
600,700,193.11
600,800,202.07
600,900,212.71
600,1000,220.29
600,1100,229.53
600,1200,239.07
600,1300,248.35
600,1400,258.28
600,1500,267.86
600,1600,277.99
600,1700,287.42
600,1800,299.54
700,500,189.49
700,600,193.37
700,700,202.99
700,800,212.27
700,900,223.24
700,1000,231.14
700,1100,240.72
700,1200,250.58
700,1300,260.2
700,1400,270.46
700,1500,280.36
700,1600,290.83
700,1700,300.59
700,1800,313.03
800,500,199.74
800,600,203.72
800,700,213.66
800,800,223.28
800,900,234.57
800,1000,242.81
800,1100,252.71
800,1200,262.91
800,1300,272.85
800,1400,283.44
800,1500,293.68
800,1600,304.47
800,1700,314.56
800,1800,327.33
900,500,0.0
900,600,215.65
900,700,225.92
900,800,235.87
900,900,247.49
900,1000,256.06
900,1100,266.29
900,1200,276.81
900,1300,287.08
900,1400,298.0
900,1500,308.57
900,1600,319.69
900,1700,330.1
900,1800,343.21
1000,500,0.0
1000,600,226.21
1000,700,236.81
1000,800,247.09
1000,900,259.04
1000,1000,267.93
1000,1100,278.49
1000,1200,289.35
1000,1300,299.95
1000,1400,311.19
1000,1500,322.09
1000,1600,333.54
1000,1700,344.29
1000,1800,357.72
1100,500,0.0
1100,600,0.0
1100,700,246.64
1100,800,257.25
1100,900,269.53
1100,1000,278.75
1100,1100,289.64
1100,1200,300.82
1100,1300,311.75
1100,1400,323.33
1100,1500,334.55
1100,1600,346.33
1100,1700,357.41
1100,1800,371.17
1200,500,0.0
1200,600,0.0
1200,700,257.49
1200,800,268.43
1200,900,281.04
1200,1000,290.59
1200,1100,301.81
1200,1200,313.32
1200,1300,324.58
1200,1400,336.49
1200,1500,348.04
1200,1600,360.15
1200,1700,371.55
1200,1800,385.65
1300,500,0.0
1300,600,0.0
1300,700,0.0
1300,800,278.63
1300,900,291.57
1300,1000,301.45
1300,1100,313.0
1300,1200,324.84
1300,1300,336.43
1300,1400,348.66
1300,1500,360.55
1300,1600,372.98
1300,1700,384.72
1300,1800,399.14
1400,500,0.0
1400,600,0.0
1400,700,0.0
1400,800,289.86
1400,900,303.13
1400,1000,313.34
1400,1100,325.22
1400,1200,337.39
1400,1300,349.3
1400,1400,361.87
1400,1500,374.08
1400,1600,386.85
1400,1700,398.91
1400,1800,413.66
1500,500,0.0
1500,600,0.0
1500,700,0.0
1500,800,0.0
1500,900,323.57
1500,1000,334.11
1500,1100,346.32
1500,1200,358.82
1500,1300,371.06
1500,1400,383.96
1500,1500,396.5
1500,1600,409.6
1500,1700,0.0
1500,1800,0.0
1600,500,0.0
1600,600,0.0
1600,700,0.0
1600,800,0.0
1600,900,0.0
1600,1000,0.0
1600,1100,0.0
1600,1200,0.0
1600,1300,0.0
1600,1400,0.0
1600,1500,0.0
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,0.0
1700,600,0.0
1700,700,0.0
1700,800,0.0
1700,900,0.0
1700,1000,0.0
1700,1100,0.0
1700,1200,0.0
1700,1300,0.0
1700,1400,0.0
1700,1500,0.0
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,0.0
1800,600,0.0
1800,700,0.0
1800,800,0.0
1800,900,0.0
1800,1000,0.0
1800,1100,0.0
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,0.0
1900,600,0.0
1900,700,0.0
1900,800,0.0
1900,900,0.0
1900,1000,0.0
1900,1100,0.0
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,0.0
2000,600,0.0
2000,700,0.0
2000,800,0.0
2000,900,0.0
2000,1000,0.0
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
