width,height,price
500,500,148.28
500,600,148.18
500,700,154.18
500,800,160.08
500,900,167.43
500,1000,171.73
500,1100,177.69
500,1200,183.94
500,1300,189.94
500,1400,196.68
500,1500,202.72
500,1600,209.57
500,1700,215.72
500,1800,
600,500,152.83
600,600,153.0
600,700,159.5
600,800,165.45
600,900,173.08
600,1000,177.65
600,1100,183.88
600,1200,190.41
600,1300,196.69
600,1400,203.7
600,1500,210.02
600,1600,217.14
600,1700,223.56
600,1800,232.67
700,500,158.98
700,600,159.66
700,700,166.21
700,800,172.44
700,900,180.34
700,1000,185.18
700,1100,191.69
700,1200,198.49
700,1300,205.04
700,1400,212.33
700,1500,218.92
700,1600,226.32
700,1700,233.02
700,1800,242.4
800,500,166.17
800,600,166.9
800,700,173.73
800,800,180.23
800,900,188.4
800,1000,193.52
800,1100,200.3
800,1200,207.38
800,1300,214.21
800,1400,221.77
800,1500,228.63
800,1600,236.31
800,1700,243.28
800,1800,252.94
900,500,0.0
900,600,175.72
900,700,182.82
900,800,189.59
900,900,198.04
900,1000,203.44
900,1100,210.5
900,1200,217.85
900,1300,224.95
900,1400,232.78
900,1500,239.93
900,1600,247.88
900,1700,255.12
900,1800,265.05
1000,500,0.0
1000,600,183.17
1000,700,190.54
1000,800,197.59
1000,900,206.32
1000,1000,211.99
1000,1100,219.32
1000,1200,226.95
1000,1300,234.32
1000,1400,242.43
1000,1500,249.85
1000,1600,258.07
1000,1700,265.59
1000,1800,275.8
1100,500,0.0
1100,600,0.0
1100,700,197.21
1100,800,204.53
1100,900,213.53
1100,1000,219.48
1100,1100,227.08
1100,1200,234.99
1100,1300,242.64
1100,1400,251.02
1100,1500,258.71
1100,1600,267.21
1100,1700,282.67
1100,1800,293.47
1200,500,0.0
1200,600,0.0
1200,700,204.9
1200,800,212.5
1200,900,221.77
1200,1000,227.99
1200,1100,235.87
1200,1200,244.05
1200,1300,251.98
1200,1400,260.63
1200,1500,275.95
1200,1600,285.04
1200,1700,293.43
1200,1800,304.51
1300,500,0.0
1300,600,0.0
1300,700,0.0
1300,800,224.91
1300,900,234.78
1300,1000,241.59
1300,1100,250.07
1300,1200,258.84
1300,1300,267.36
1300,1400,276.61
1300,1500,285.17
1300,1600,294.54
1300,1700,303.2
1300,1800,314.56
1400,500,0.0
1400,600,0.0
1400,700,0.0
1400,800,233.24
1400,900,243.38
1400,1000,250.47
1400,1100,259.22
1400,1200,268.27
1400,1300,277.06
1400,1400,286.59
1400,1500,295.43
1400,1600,305.07
1400,1700,314.01
1400,1800,325.64
1500,500,0.0
1500,600,0.0
1500,700,0.0
1500,800,0.0
1500,900,258.57
1500,1000,265.94
1500,1100,274.96
1500,1200,284.29
1500,1300,293.35
1500,1400,303.16
1500,1500,312.27
1500,1600,359.96
1500,1700,0.0
1500,1800,0.0
1600,500,0.0
1600,600,0.0
1600,700,0.0
1600,800,0.0
1600,900,0.0
1600,1000,0.0
1600,1100,0.0
1600,1200,0.0
1600,1300,0.0
1600,1400,0.0
1600,1500,0.0
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,0.0
1700,600,0.0
1700,700,0.0
1700,800,0.0
1700,900,0.0
1700,1000,0.0
1700,1100,0.0
1700,1200,0.0
1700,1300,0.0
1700,1400,0.0
1700,1500,0.0
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,0.0
1800,600,0.0
1800,700,0.0
1800,800,0.0
1800,900,0.0
1800,1000,0.0
1800,1100,0.0
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,0.0
1900,600,0.0
1900,700,0.0
1900,800,0.0
1900,900,0.0
1900,1000,0.0
1900,1100,0.0
1900,1200,0.0
1900,1300,0.0
1900,1400,
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,0.0
2000,600,0.0
2000,700,0.0
2000,800,0.0
2000,900,0.0
2000,1000,0.0
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
