width,height,price
500,500,153.79
500,600,164.47
500,700,173.43
500,800,182.69
500,900,191.61
500,1000,226.47
500,1100,235.38
500,1200,244.34
500,1300,253.3
500,1400,270.72
500,1500,279.97
500,1600,0.0
500,1700,0.0
500,1800,0.0
600,500,164.04
600,600,175.05
600,700,184.57
600,800,193.93
600,900,203.18
600,1000,237.89
600,1100,247.14
600,1200,256.42
600,1300,265.7
600,1400,283.45
600,1500,293.03
600,1600,0.0
600,1700,0.0
600,1800,0.0
700,500,173.26
700,600,184.82
700,700,194.44
700,800,204.13
700,900,213.71
700,1000,248.75
700,1100,258.32
700,1200,267.94
700,1300,277.55
700,1400,295.63
700,1500,305.54
700,1600,0.0
700,1700,0.0
700,1800,0.0
800,500,183.0
800,600,194.67
800,700,204.61
800,800,214.64
800,900,224.54
800,1000,242.39
800,1100,252.29
800,1200,263.19
800,1300,273.13
800,1400,283.03
800,1500,293.27
800,1600,0.0
800,1700,0.0
800,1800,0.0
900,500,192.17
900,600,204.17
900,700,214.44
900,800,224.79
900,900,235.02
900,1000,255.1
900,1100,265.33
900,1200,276.55
900,1300,286.82
900,1400,297.05
900,1500,307.62
900,1600,0.0
900,1700,0.0
900,1800,0.0
1000,500,209.37
1000,600,221.7
1000,700,232.3
1000,800,242.98
1000,900,253.54
1000,1000,273.78
1000,1100,284.34
1000,1200,295.9
1000,1300,306.5
1000,1400,317.06
1000,1500,327.95
1000,1600,0.0
1000,1700,0.0
1000,1800,0.0
1100,500,218.54
1100,600,231.2
1100,700,242.13
1100,800,253.14
1100,900,264.03
1100,1000,284.6
1100,1100,295.49
1100,1200,307.37
1100,1300,318.3
1100,1400,329.19
1100,1500,340.42
1100,1600,0.0
1100,1700,0.0
1100,1800,0.0
1200,500,228.77
1200,600,241.75
1200,700,253.01
1200,800,264.36
1200,900,275.57
1200,1000,295.46
1200,1100,306.68
1200,1200,318.89
1200,1300,330.15
1200,1400,341.37
1200,1500,352.92
1200,1600,0.0
1200,1700,0.0
1200,1800,0.0
1300,500,237.98
1300,600,251.3
1300,700,262.88
1300,800,274.56
1300,900,286.1
1300,1000,306.32
1300,1100,317.87
1300,1200,330.41
1300,1300,342.0
1300,1400,353.54
1300,1500,365.43
1300,1600,0.0
1300,1700,0.0
1300,1800,0.0
1400,500,250.55
1400,600,264.19
1400,700,276.11
1400,800,288.11
1400,900,299.99
1400,1000,320.07
1400,1100,331.95
1400,1200,344.82
1400,1300,356.74
1400,1400,368.61
1400,1500,380.82
1400,1600,0.0
1400,1700,0.0
1400,1800,0.0
1500,500,259.85
1500,600,273.83
1500,700,286.07
1500,800,298.4
1500,900,310.61
1500,1000,331.02
1500,1100,343.23
1500,1200,356.42
1500,1300,368.67
1500,1400,380.88
1500,1500,393.42
1500,1600,0.0
1500,1700,0.0
1500,1800,0.0
1600,500,270.28
1600,600,284.58
1600,700,297.16
1600,800,309.82
1600,900,322.35
1600,1000,341.84
1600,1100,354.37
1600,1200,367.9
1600,1300,380.48
1600,1400,393.01
1600,1500,405.88
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,279.49
1700,600,294.12
1700,700,307.03
1700,800,320.02
1700,900,332.88
1700,1000,352.7
1700,1100,365.56
1700,1200,379.42
1700,1300,392.32
1700,1400,405.19
1700,1500,418.39
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,290.69
1800,600,305.65
1800,700,318.89
1800,800,332.21
1800,900,345.4
1800,1000,366.85
1800,1100,380.04
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,299.86
1900,600,315.15
1900,700,328.72
1900,800,342.36
1900,900,355.89
1900,1000,377.67
1900,1100,391.19
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,309.87
2000,600,325.49
2000,700,339.38
2000,800,353.36
2000,900,367.21
2000,1000,388.57
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
