width,height,price
500,500,129.75
500,600,137.54
500,700,143.79
500,800,150.36
500,900,156.56
500,1000,188.72
500,1100,194.93
500,1200,201.18
500,1300,226.34
500,1400,242.86
500,1500,250.87
500,1600,0.0
500,1700,0.0
500,1800,0.0
600,500,136.93
600,600,145.0
600,700,151.75
600,800,158.36
600,900,164.84
600,1000,196.9
600,1100,203.38
600,1200,209.91
600,1300,242.21
600,1400,259.01
600,1500,267.29
600,1600,0.0
600,1700,0.0
600,1800,0.0
700,500,143.34
700,600,151.91
700,700,158.71
700,800,165.59
700,900,172.35
700,1000,204.68
700,1100,211.44
700,1200,218.24
700,1300,252.53
700,1400,269.61
700,1500,278.17
700,1600,0.0
700,1700,0.0
700,1800,0.0
800,500,150.37
800,600,158.99
800,700,166.06
800,800,173.22
800,900,180.25
800,1000,195.24
800,1100,202.27
800,1200,210.3
800,1300,246.59
800,1400,255.43
800,1500,264.26
800,1600,0.0
800,1700,0.0
800,1800,0.0
900,500,156.74
900,600,165.63
900,700,172.98
900,800,180.41
900,900,187.72
900,1000,204.87
900,1100,212.18
900,1200,220.48
900,1300,258.76
900,1400,267.88
900,1500,276.99
900,1600,0.0
900,1700,0.0
900,1800,0.0
1000,500,168.81
1000,600,177.97
1000,700,185.6
1000,800,193.3
1000,900,200.89
1000,1000,218.18
1000,1100,225.76
1000,1200,234.34
1000,1300,274.61
1000,1400,284.0
1000,1500,293.39
1000,1600,0.0
1000,1700,0.0
1000,1800,0.0
1100,500,175.17
1100,600,184.61
1100,700,192.51
1100,800,200.49
1100,900,208.35
1100,1000,225.92
1100,1100,233.78
1100,1200,242.63
1100,1300,284.9
1100,1400,294.56
1100,1500,304.22
1100,1600,0.0
1100,1700,0.0
1100,1800,0.0
1200,500,182.62
1200,600,192.34
1200,700,200.51
1200,800,208.77
1200,900,216.9
1200,1000,233.7
1200,1100,241.83
1200,1200,250.96
1200,1300,295.22
1200,1400,305.16
1200,1500,315.1
1200,1600,0.0
1200,1700,0.0
1200,1800,0.0
1300,500,189.03
1300,600,199.02
1300,700,207.47
1300,800,216.0
1300,900,224.41
1300,1000,241.48
1300,1100,249.89
1300,1200,259.29
1300,1300,0.0
1300,1400,0.0
1300,1500,0.0
1300,1600,0.0
1300,1700,0.0
1300,1800,0.0
1400,500,198.79
1400,600,209.06
1400,700,217.78
1400,800,226.59
1400,900,235.27
1400,1000,252.16
1400,1100,260.84
1400,1200,270.51
1400,1300,0.0
1400,1400,0.0
1400,1500,0.0
1400,1600,0.0
1400,1700,0.0
1400,1800,0.0
1500,500,205.29
1500,600,215.83
1500,700,224.83
1500,800,233.91
1500,900,242.86
1500,1000,260.03
1500,1100,268.98
1500,1200,278.93
1500,1300,0.0
1500,1400,0.0
1500,1500,0.0
1500,1600,0.0
1500,1700,0.0
1500,1800,0.0
1600,500,212.88
1600,600,223.69
1600,700,232.96
1600,800,242.32
1600,900,251.55
1600,1000,267.77
1600,1100,277.0
1600,1200,287.22
1600,1300,0.0
1600,1400,0.0
1600,1500,0.0
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,219.28
1700,600,230.37
1700,700,239.92
1700,800,249.55
1700,900,259.06
1700,1000,275.55
1700,1100,285.05
1700,1200,295.55
1700,1300,0.0
1700,1400,0.0
1700,1500,0.0
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,227.52
1800,600,238.88
1800,700,248.7
1800,800,258.61
1800,900,268.39
1800,1000,286.62
1800,1100,296.41
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,239.31
1900,600,252.23
1900,700,262.64
1900,800,273.14
1900,900,283.52
1900,1000,302.35
1900,1100,312.72
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,247.03
2000,600,260.22
2000,700,270.91
2000,800,281.68
2000,900,292.33
2000,1000,310.49
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
