width,height,price
500,500,136.28
500,600,137.62
500,700,143.62
500,800,149.53
500,900,156.03
500,1000,162.12
500,1100,168.08
500,1200,174.34
500,1300,180.34
500,1400,186.79
500,1500,192.83
500,1600,199.21
500,1700,205.35
500,1800,215.3
600,500,144.0
600,600,145.62
600,700,152.13
600,800,158.08
600,900,164.85
600,1000,171.22
600,1100,177.46
600,1200,183.99
600,1300,190.26
600,1400,196.99
600,1500,203.31
600,1600,209.96
600,1700,216.38
600,1800,226.59
700,500,150.16
700,600,152.28
700,700,158.83
700,800,165.06
700,900,172.11
700,1000,178.76
700,1100,185.26
700,1200,192.07
700,1300,198.62
700,1400,205.62
700,1500,212.21
700,1600,219.14
700,1700,225.83
700,1800,236.32
800,500,156.63
800,600,158.8
800,700,165.62
800,800,172.12
800,900,179.45
800,1000,186.37
800,1100,193.15
800,1200,200.23
800,1300,207.06
800,1400,214.33
800,1500,221.2
800,1600,228.4
800,1700,235.37
800,1800,246.14
900,500,0.0
900,600,168.91
900,700,176.01
900,800,182.78
900,900,190.38
900,1000,197.58
900,1100,204.64
900,1200,211.99
900,1300,219.09
900,1400,226.64
900,1500,233.78
900,1600,241.26
900,1700,248.5
900,1800,259.54
1000,500,0.0
1000,600,175.38
1000,700,182.76
1000,800,189.81
1000,900,197.68
1000,1000,205.15
1000,1100,212.48
1000,1200,220.11
1000,1300,227.49
1000,1400,235.31
1000,1500,242.73
1000,1600,250.48
1000,1700,258.0
1000,1800,269.31
1100,500,0.0
1100,600,0.0
1100,700,189.42
1100,800,196.75
1100,900,204.89
1100,1000,212.64
1100,1100,220.25
1100,1200,228.15
1100,1300,235.8
1100,1400,243.9
1100,1500,251.59
1100,1600,259.62
1100,1700,275.08
1100,1800,286.99
1200,500,0.0
1200,600,0.0
1200,700,197.08
1200,800,204.68
1200,900,213.1
1200,1000,221.12
1200,1100,229.01
1200,1200,237.18
1200,1300,245.11
1200,1400,253.49
1200,1500,268.8
1200,1600,277.41
1200,1700,285.8
1200,1800,297.99
1300,500,0.0
1300,600,0.0
1300,700,0.0
1300,800,217.09
1300,900,226.11
1300,1000,234.72
1300,1100,243.2
1300,1200,251.97
1300,1300,260.49
1300,1400,269.46
1300,1500,278.02
1300,1600,286.92
1300,1700,295.58
1300,1800,308.04
1400,500,0.0
1400,600,0.0
1400,700,0.0
1400,800,224.35
1400,900,233.64
1400,1000,242.53
1400,1100,251.28
1400,1200,260.33
1400,1300,269.12
1400,1400,278.37
1400,1500,287.21
1400,1600,296.37
1400,1700,305.31
1400,1800,318.05
1500,500,0.0
1500,600,0.0
1500,700,0.0
1500,800,0.0
1500,900,241.31
1500,1000,250.47
1500,1100,259.5
1500,1200,268.82
1500,1300,277.89
1500,1400,287.41
1500,1500,296.52
1500,1600,343.74
1500,1700,0.0
1500,1800,0.0
1600,500,0.0
1600,600,0.0
1600,700,0.0
1600,800,0.0
1600,900,0.0
1600,1000,0.0
1600,1100,0.0
1600,1200,0.0
1600,1300,0.0
1600,1400,0.0
1600,1500,0.0
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,0.0
1700,600,0.0
1700,700,0.0
1700,800,0.0
1700,900,0.0
1700,1000,0.0
1700,1100,0.0
1700,1200,0.0
1700,1300,0.0
1700,1400,0.0
1700,1500,0.0
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,0.0
1800,600,0.0
1800,700,0.0
1800,800,0.0
1800,900,0.0
1800,1000,0.0
1800,1100,0.0
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,0.0
1900,600,0.0
1900,700,0.0
1900,800,0.0
1900,900,0.0
1900,1000,0.0
1900,1100,0.0
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,0.0
2000,600,0.0
2000,700,0.0
2000,800,0.0
2000,900,0.0
2000,1000,0.0
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
