width,height,price
500,500,160.12
500,600,161.82
500,700,169.26
500,800,176.6
500,900,185.4
500,1000,191.13
500,1100,198.53
500,1200,206.23
500,1300,213.67
500,1400,221.76
500,1500,229.41
500,1600,237.7
500,1700,245.29
500,1800,255.57
600,500,166.59
600,600,168.58
600,700,176.55
600,800,183.96
600,900,193.05
600,1000,199.08
600,1100,206.77
600,1200,214.76
600,1300,222.5
600,1400,230.88
600,1500,238.83
600,1600,247.42
600,1700,255.3
600,1800,265.87
700,500,174.29
700,600,176.81
700,700,184.84
700,800,192.54
700,900,201.93
700,1000,208.25
700,1100,216.24
700,1200,224.53
700,1300,232.56
700,1400,241.24
700,1500,249.48
700,1600,258.36
700,1700,266.54
700,1800,277.4
800,500,183.02
800,600,185.61
800,700,193.94
800,800,201.94
800,900,211.61
800,1000,218.23
800,1100,226.52
800,1200,235.1
800,1300,243.43
800,1400,252.4
800,1500,260.93
800,1600,270.11
800,1700,278.58
800,1800,289.74
900,500,0.0
900,600,195.99
900,700,204.61
900,800,212.91
900,900,222.88
900,1000,229.79
900,1100,238.37
900,1200,247.25
900,1300,255.87
900,1400,265.14
900,1500,273.97
900,1600,283.44
900,1700,292.21
900,1800,303.66
1000,500,0.0
1000,600,205.0
1000,700,213.92
1000,800,222.51
1000,900,232.78
1000,1000,239.99
1000,1100,248.86
1000,1200,258.03
1000,1300,266.95
1000,1400,276.51
1000,1500,285.64
1000,1600,295.4
1000,1700,304.46
1000,1800,316.21
1100,500,0.0
1100,600,0.0
1100,700,222.17
1100,800,231.05
1100,900,241.61
1100,1000,249.12
1100,1100,258.29
1100,1200,267.75
1100,1300,276.96
1100,1400,286.82
1100,1500,296.24
1100,1600,306.3
1100,1700,315.66
1100,1800,327.7
1200,500,0.0
1200,600,0.0
1200,700,231.44
1200,800,240.62
1200,900,251.48
1200,1000,259.28
1200,1100,268.74
1200,1200,278.5
1200,1300,288.01
1200,1400,298.16
1200,1500,307.87
1200,1600,318.23
1200,1700,327.88
1200,1800,340.22
1300,500,0.0
1300,600,0.0
1300,700,0.0
1300,800,249.2
1300,900,260.35
1300,1000,268.45
1300,1100,278.21
1300,1200,288.26
1300,1300,298.06
1300,1400,308.51
1300,1500,318.52
1300,1600,329.17
1300,1700,339.12
1300,1800,351.75
1400,500,0.0
1400,600,0.0
1400,700,0.0
1400,800,258.82
1400,900,270.26
1400,1000,278.65
1400,1100,288.71
1400,1200,299.06
1400,1300,309.15
1400,1400,319.9
1400,1500,330.2
1400,1600,341.15
1400,1700,351.39
1400,1800,364.32
1500,500,0.0
1500,600,0.0
1500,700,0.0
1500,800,0.0
1500,900,286.76
1500,1000,295.44
1500,1100,305.79
1500,1200,316.44
1500,1300,326.83
1500,1400,337.87
1500,1500,348.47
1500,1600,359.71
1500,1700,0.0
1500,1800,0.0
1600,500,0.0
1600,600,0.0
1600,700,0.0
1600,800,0.0
1600,900,0.0
1600,1000,0.0
1600,1100,0.0
1600,1200,0.0
1600,1300,0.0
1600,1400,0.0
1600,1500,0.0
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,0.0
1700,600,0.0
1700,700,0.0
1700,800,0.0
1700,900,0.0
1700,1000,0.0
1700,1100,0.0
1700,1200,0.0
1700,1300,0.0
1700,1400,0.0
1700,1500,0.0
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,0.0
1800,600,0.0
1800,700,0.0
1800,800,0.0
1800,900,0.0
1800,1000,0.0
1800,1100,0.0
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,0.0
1900,600,0.0
1900,700,0.0
1900,800,0.0
1900,900,0.0
1900,1000,0.0
1900,1100,0.0
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,0.0
2000,600,0.0
2000,700,0.0
2000,800,0.0
2000,900,0.0
2000,1000,0.0
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
