width,height,price
500,500,150.8
500,600,150.95
500,700,157.2
500,800,163.35
500,900,170.95
500,1000,175.5
500,1100,181.71
500,1200,188.21
500,1300,194.46
500,1400,201.45
500,1500,207.74
500,1600,214.84
500,1700,221.23
500,1800,230.32
600,500,155.6
600,600,156.03
600,700,162.78
600,800,168.98
600,900,176.85
600,1000,181.67
600,1100,188.15
600,1200,194.93
600,1300,201.46
600,1400,208.72
600,1500,215.29
600,1600,222.66
600,1700,229.33
600,1800,238.69
700,500,162.01
700,600,162.93
700,700,169.73
700,800,176.21
700,900,184.36
700,1000,189.45
700,1100,196.21
700,1200,203.26
700,1300,210.06
700,1400,217.6
700,1500,224.44
700,1600,232.09
700,1700,239.03
700,1800,248.67
800,500,169.45
800,600,170.42
800,700,177.5
800,800,184.25
800,900,192.67
800,1000,198.04
800,1100,205.07
800,1200,212.4
800,1300,219.48
800,1400,227.29
800,1500,234.4
800,1600,242.33
800,1700,249.55
800,1800,259.45
900,500,0.0
900,600,179.49
900,700,186.84
900,800,193.86
900,900,202.56
900,1000,208.21
900,1100,215.51
900,1200,223.12
900,1300,230.47
900,1400,238.55
900,1500,245.94
900,1600,254.14
900,1700,261.64
900,1800,271.82
1000,500,0.0
1000,600,187.19
1000,700,194.82
1000,800,202.11
1000,900,211.09
1000,1000,217.01
1000,1100,224.59
1000,1200,232.47
1000,1300,240.09
1000,1400,248.45
1000,1500,256.12
1000,1600,264.59
1000,1700,272.36
1000,1800,282.82
1100,500,0.0
1100,600,0.0
1100,700,201.73
1100,800,209.3
1100,900,218.55
1100,1000,224.75
1100,1100,232.6
1100,1200,240.75
1100,1300,248.65
1100,1400,257.29
1100,1500,265.23
1100,1600,273.98
1100,1700,289.69
1100,1800,300.74
1200,500,0.0
1200,600,0.0
1200,700,209.67
1200,800,217.52
1200,900,227.04
1200,1000,233.51
1200,1100,241.64
1200,1200,250.07
1200,1300,258.24
1200,1400,267.15
1200,1500,282.71
1200,1600,292.06
1200,1700,300.69
1200,1800,312.02
1300,500,0.0
1300,600,0.0
1300,700,0.0
1300,800,230.18
1300,900,240.29
1300,1000,247.36
1300,1100,256.08
1300,1200,265.1
1300,1300,273.87
1300,1400,283.38
1300,1500,292.19
1300,1600,301.8
1300,1700,310.72
1300,1800,322.32
1400,500,0.0
1400,600,0.0
1400,700,0.0
1400,800,238.76
1400,900,249.15
1400,1000,256.49
1400,1100,265.49
1400,1200,274.78
1400,1300,283.83
1400,1400,293.61
1400,1500,302.69
1400,1600,312.58
1400,1700,321.77
1400,1800,333.65
1500,500,0.0
1500,600,0.0
1500,700,0.0
1500,800,0.0
1500,900,264.59
1500,1000,272.2
1500,1100,281.48
1500,1200,291.05
1500,1300,300.37
1500,1400,310.42
1500,1500,319.78
1500,1600,367.73
1500,1700,0.0
1500,1800,0.0
1600,500,0.0
1600,600,0.0
1600,700,0.0
1600,800,0.0
1600,900,0.0
1600,1000,0.0
1600,1100,0.0
1600,1200,0.0
1600,1300,0.0
1600,1400,0.0
1600,1500,0.0
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,0.0
1700,600,0.0
1700,700,0.0
1700,800,0.0
1700,900,0.0
1700,1000,0.0
1700,1100,0.0
1700,1200,0.0
1700,1300,0.0
1700,1400,0.0
1700,1500,0.0
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,0.0
1800,600,0.0
1800,700,0.0
1800,800,0.0
1800,900,0.0
1800,1000,0.0
1800,1100,0.0
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,0.0
1900,600,0.0
1900,700,0.0
1900,800,0.0
1900,900,0.0
1900,1000,0.0
1900,1100,0.0
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,0.0
2000,600,0.0
2000,700,0.0
2000,800,0.0
2000,900,0.0
2000,1000,0.0
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
