width,height,price
500,500,69.93
500,600,73.74
500,700,77.59
500,800,81.62
500,900,85.43
500,1000,89.43
500,1100,93.23
500,1200,97.08
500,1300,100.89
500,1400,105.14
500,1500,108.99
500,1600,112.8
500,1700,116.8
500,1800,120.6
600,500,73.94
600,600,77.97
600,700,82.27
600,800,86.31
600,900,90.34
600,1000,94.55
600,1100,98.59
600,1200,102.66
600,1300,106.69
600,1400,111.17
600,1500,115.24
600,1600,119.27
600,1700,123.49
600,1800,127.52
700,500,77.95
700,600,82.43
700,700,86.73
700,800,90.98
700,900,95.24
700,1000,99.68
700,1100,103.93
700,1200,108.23
700,1300,112.48
700,1400,117.18
700,1500,121.48
700,1600,125.73
700,1700,130.17
700,1800,134.43
800,500,82.14
800,600,86.62
800,700,91.14
800,800,95.62
800,900,100.09
800,1000,104.76
800,1100,109.24
800,1200,113.76
800,1300,118.23
800,1400,123.16
800,1500,127.68
800,1600,132.15
800,1700,136.82
800,1800,141.3
900,500,86.11
900,600,90.81
900,700,95.55
900,800,100.25
900,900,104.95
900,1000,109.84
900,1100,114.54
900,1200,119.28
900,1300,123.99
900,1400,129.13
900,1500,133.87
900,1600,138.58
900,1700,143.46
900,1800,148.17
1000,500,90.11
1000,600,95.04
1000,700,100.0
1000,800,104.93
1000,900,109.85
1000,1000,114.96
1000,1100,119.89
1000,1200,124.85
1000,1300,129.78
1000,1400,135.15
1000,1500,140.11
1000,1600,145.04
1000,1700,150.15
1000,1800,155.08
1100,500,94.08
1100,600,99.22
1100,700,104.41
1100,800,109.56
1100,900,114.71
1100,1000,120.04
1100,1100,125.19
1100,1200,130.38
1100,1300,135.53
1100,1400,141.12
1100,1500,146.31
1100,1600,151.46
1100,1700,156.8
1100,1800,161.94
1200,500,98.08
1200,600,103.46
1200,700,108.87
1200,800,114.24
1200,900,119.61
1200,1000,125.17
1200,1100,130.54
1200,1200,135.95
1200,1300,141.32
1200,1400,147.14
1200,1500,152.55
1200,1600,157.92
1200,1700,163.48
1200,1800,168.85
1300,500,102.05
1300,600,107.64
1300,700,113.28
1300,800,118.87
1300,900,124.47
1300,1000,130.25
1300,1100,135.84
1300,1200,141.48
1300,1300,147.08
1300,1400,153.11
1300,1500,158.75
1300,1600,164.35
1300,1700,170.13
1300,1800,175.72
1400,500,106.01
1400,600,111.83
1400,700,117.69
1400,800,123.51
1400,900,129.33
1400,1000,135.33
1400,1100,141.15
1400,1200,147.01
1400,1300,152.83
1400,1400,159.09
1400,1500,164.95
1400,1600,170.77
1400,1700,176.77
1400,1800,182.59
1500,500,110.07
1500,600,116.11
1500,700,122.19
1500,800,128.23
1500,900,134.27
1500,1000,140.5
1500,1100,146.54
1500,1200,152.63
1500,1300,158.67
1500,1400,165.15
1500,1500,171.24
1500,1600,177.28
1500,1700,183.51
1500,1800,189.55
1600,500,114.03
1600,600,120.3
1600,700,126.6
1600,800,132.87
1600,900,139.13
1600,1000,145.58
1600,1100,151.85
1600,1200,158.16
1600,1300,164.42
1600,1400,171.13
1600,1500,177.43
1600,1600,183.7
1600,1700,190.15
1600,1800,196.42
1700,500,118.04
1700,600,124.53
1700,700,131.06
1700,800,137.55
1700,900,144.03
1700,1000,150.71
1700,1100,157.2
1700,1200,163.73
1700,1300,170.21
1700,1400,177.15
1700,1500,183.68
1700,1600,190.16
1700,1700,196.84
1700,1800,203.33
1800,500,122.01
1800,600,128.72
1800,700,135.47
1800,800,142.18
1800,900,148.89
1800,1000,155.79
1800,1100,162.5
1800,1200,169.25
1800,1300,175.97
1800,1400,183.12
1800,1500,189.87
1800,1600,196.58
1800,1700,203.48
1800,1800,210.19
1900,500,125.97
1900,600,132.9
1900,700,139.88
1900,800,146.82
1900,900,153.75
1900,1000,160.87
1900,1100,167.81
1900,1200,174.78
1900,1300,181.72
1900,1400,189.09
1900,1500,196.07
1900,1600,203.01
1900,1700,210.13
1900,1800,217.06
2000,500,129.98
2000,600,137.13
2000,700,144.33
2000,800,151.49
2000,900,158.65
2000,1000,165.99
2000,1100,173.15
2000,1200,180.35
2000,1300,187.51
2000,1400,195.11
2000,1500,202.31
2000,1600,209.47
2000,1700,216.81
2000,1800,223.97
