width,height,price
500,500,165.68
500,600,174.93
500,700,182.26
500,800,189.89
500,900,197.18
500,1000,230.41
500,1100,239.86
500,1200,250.44
500,1300,261.03
500,1400,280.08
500,1500,290.88
500,1600,0.0
500,1700,0.0
500,1800,0.0
600,500,174.52
600,600,184.07
600,700,191.91
600,800,199.61
600,900,211.52
600,1000,247.85
600,1100,259.77
600,1200,271.74
600,1300,283.71
600,1400,304.14
600,1500,316.32
600,1600,0.0
600,1700,0.0
600,1800,0.0
700,500,182.1
700,600,192.17
700,700,200.08
700,800,213.51
700,900,226.82
700,1000,265.6
700,1100,278.91
700,1200,292.26
700,1300,306.69
700,1400,327.43
700,1500,340.99
700,1600,0.0
700,1700,0.0
700,1800,0.0
800,500,190.21
800,600,200.35
800,700,213.98
800,800,228.8
800,900,243.49
800,1000,266.13
800,1100,280.83
800,1200,296.51
800,1300,311.24
800,1400,325.93
800,1500,340.88
800,1600,0.0
800,1700,0.0
800,1800,0.0
900,500,197.75
900,600,212.51
900,700,227.55
900,800,243.75
900,900,259.82
900,1000,286.82
900,1100,301.81
900,1200,318.88
900,1300,334.99
900,1400,351.07
900,1500,367.39
900,1600,0.0
900,1700,0.0
900,1800,0.0
1000,500,211.02
1000,600,229.36
1000,700,246.85
1000,800,264.43
1000,900,282.97
1000,1000,309.03
1000,1100,326.48
1000,1200,344.93
1000,1300,362.43
1000,1400,379.88
1000,1500,397.59
1000,1600,0.0
1000,1700,0.0
1000,1800,0.0
1100,500,220.73
1100,600,241.54
1100,700,260.42
1100,800,279.38
1100,900,298.22
1100,1000,326.74
1100,1100,345.58
1100,1200,365.41
1100,1300,384.29
1100,1400,403.12
1100,1500,422.21
1100,1600,0.0
1100,1700,0.0
1100,1800,0.0
1200,500,232.59
1200,600,254.78
1200,700,275.04
1200,800,295.38
1200,900,315.6
1200,1000,344.49
1200,1100,364.71
1200,1200,385.93
1200,1300,407.26
1200,1400,426.41
1200,1500,446.88
1200,1600,0.0
1200,1700,0.0
1200,1800,0.0
1300,500,243.43
1300,600,267.0
1300,700,289.72
1300,800,310.37
1300,900,331.98
1300,1000,362.25
1300,1100,383.85
1300,1200,407.52
1300,1300,428.09
1300,1400,449.69
1300,1500,471.54
1300,1600,0.0
1300,1700,0.0
1300,1800,0.0
1400,500,257.63
1400,600,282.59
1400,700,305.61
1400,800,328.72
1400,900,351.71
1400,1000,382.89
1400,1100,405.88
1400,1200,429.86
1400,1300,452.88
1400,1400,475.87
1400,1500,499.1
1400,1600,0.0
1400,1700,0.0
1400,1800,0.0
1500,500,268.56
1500,600,294.9
1500,700,319.31
1500,800,343.8
1500,900,368.17
1500,1000,400.74
1500,1100,425.11
1500,1200,450.47
1500,1300,474.87
1500,1400,499.24
1500,1500,523.86
1500,1600,0.0
1500,1700,0.0
1500,1800,0.0
1600,500,280.62
1600,600,309.42
1600,700,334.13
1600,800,360.0
1600,900,385.75
1600,1000,419.53
1600,1100,444.2
1600,1200,470.94
1600,1300,496.73
1600,1400,522.48
1600,1500,548.48
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,291.46
1700,600,320.57
1700,700,347.74
1700,800,374.99
1700,900,402.12
1700,1000,436.21
1700,1100,463.34
1700,1200,491.46
1700,1300,518.63
1700,1400,545.76
1700,1500,573.15
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,304.29
1800,600,334.78
1800,700,363.33
1800,800,391.97
1800,900,421.56
1800,1000,457.26
1800,1100,485.77
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,315.1
1900,600,346.96
1900,700,376.9
1900,800,406.92
1900,900,436.82
1900,1000,474.97
1900,1100,504.87
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,326.73
2000,600,359.99
2000,700,391.3
2000,800,422.71
2000,900,453.98
2000,1000,492.77
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
