width,height,price
500,500,127.23
500,600,134.77
500,700,140.77
500,800,147.08
500,900,153.04
500,1000,184.95
500,1100,190.91
500,1200,196.91
500,1300,221.82
500,1400,238.09
500,1500,245.85
500,1600,0.0
500,1700,0.0
500,1800,0.0
600,500,134.16
600,600,141.98
600,700,148.48
600,800,154.84
600,900,161.07
600,1000,192.88
600,1100,199.11
600,1200,205.39
600,1300,237.44
600,1400,253.99
600,1500,262.02
600,1600,0.0
600,1700,0.0
600,1800,0.0
700,500,140.32
700,600,148.64
700,700,155.19
700,800,161.82
700,900,168.33
700,1000,200.41
700,1100,206.92
700,1200,213.47
700,1300,247.51
700,1400,264.34
700,1500,272.65
700,1600,0.0
700,1700,0.0
700,1800,0.0
800,500,147.1
800,600,155.46
800,700,162.29
800,800,169.2
800,900,175.98
800,1000,190.72
800,1100,197.5
800,1200,205.28
800,1300,241.32
800,1400,249.91
800,1500,258.49
800,1600,0.0
800,1700,0.0
800,1800,0.0
900,500,153.21
900,600,161.86
900,700,168.96
900,800,176.14
900,900,183.2
900,1000,200.1
900,1100,207.16
900,1200,215.21
900,1300,253.24
900,1400,262.11
900,1500,270.97
900,1600,0.0
900,1700,0.0
900,1800,0.0
1000,500,165.04
1000,600,173.95
1000,700,181.33
1000,800,188.78
1000,900,196.12
1000,1000,213.16
1000,1100,220.5
1000,1200,228.82
1000,1300,268.85
1000,1400,277.99
1000,1500,287.12
1000,1600,0.0
1000,1700,0.0
1000,1800,0.0
1100,500,171.15
1100,600,180.34
1100,700,187.99
1100,800,195.72
1100,900,203.33
1100,1000,220.65
1100,1100,228.26
1100,1200,236.86
1100,1300,278.88
1100,1400,288.3
1100,1500,297.71
1100,1600,0.0
1100,1700,0.0
1100,1800,0.0
1200,500,178.35
1200,600,187.82
1200,700,195.74
1200,800,203.75
1200,900,211.63
1200,1000,228.18
1200,1100,236.07
1200,1200,244.94
1200,1300,288.95
1200,1400,298.65
1200,1500,308.33
1200,1600,0.0
1200,1700,0.0
1200,1800,0.0
1300,500,184.51
1300,600,194.25
1300,700,202.45
1300,800,210.73
1300,900,218.89
1300,1000,235.71
1300,1100,243.87
1300,1200,253.02
1300,1300,0.0
1300,1400,0.0
1300,1500,0.0
1300,1600,0.0
1300,1700,0.0
1300,1800,0.0
1400,500,194.02
1400,600,204.04
1400,700,212.51
1400,800,221.07
1400,900,229.5
1400,1000,246.14
1400,1100,254.57
1400,1200,264.0
1400,1300,0.0
1400,1400,0.0
1400,1500,0.0
1400,1600,0.0
1400,1700,0.0
1400,1800,0.0
1500,500,200.27
1500,600,210.56
1500,700,219.31
1500,800,228.14
1500,900,236.85
1500,1000,253.76
1500,1100,262.47
1500,1200,272.17
1500,1300,0.0
1500,1400,0.0
1500,1500,0.0
1500,1600,0.0
1500,1700,0.0
1500,1800,0.0
1600,500,207.61
1600,600,218.17
1600,700,227.2
1600,800,236.3
1600,900,245.29
1600,1000,261.25
1600,1100,270.23
1600,1200,280.21
1600,1300,0.0
1600,1400,0.0
1600,1500,0.0
1600,1600,0.0
1600,1700,0.0
1600,1800,0.0
1700,500,213.77
1700,600,224.61
1700,700,233.9
1700,800,243.29
1700,900,252.54
1700,1000,268.78
1700,1100,278.04
1700,1200,288.29
1700,1300,0.0
1700,1400,0.0
1700,1500,0.0
1700,1600,0.0
1700,1700,0.0
1700,1800,0.0
1800,500,221.75
1800,600,232.86
1800,700,242.44
1800,800,252.09
1800,900,261.63
1800,1000,279.61
1800,1100,289.14
1800,1200,0.0
1800,1300,0.0
1800,1400,0.0
1800,1500,0.0
1800,1600,0.0
1800,1700,0.0
1800,1800,0.0
1900,500,233.29
1900,600,245.96
1900,700,256.13
1900,800,266.38
1900,900,276.5
1900,1000,295.08
1900,1100,305.21
1900,1200,0.0
1900,1300,0.0
1900,1400,0.0
1900,1500,0.0
1900,1600,0.0
1900,1700,0.0
1900,1800,0.0
2000,500,240.76
2000,600,253.7
2000,700,264.14
2000,800,274.67
2000,900,285.07
2000,1000,302.98
2000,1100,0.0
2000,1200,0.0
2000,1300,0.0
2000,1400,0.0
2000,1500,0.0
2000,1600,0.0
2000,1700,0.0
2000,1800,0.0
