width,height,price
500,500,89.56
500,600,94.76
500,700,100.0
500,800,105.42
500,900,110.62
500,1000,116.0
500,1100,121.2
500,1200,126.44
500,1300,131.64
500,1400,137.11
500,1500,142.35
500,1600,147.55
500,1700,152.93
500,1800,158.13
600,500,94.41
600,600,99.85
600,700,105.55
600,800,110.99
600,900,116.43
600,1000,122.05
600,1100,127.49
600,1200,132.97
600,1300,138.41
600,1400,144.13
600,1500,149.6
600,1600,155.04
600,1700,160.67
600,1800,166.1
700,500,99.25
700,600,105.16
700,700,110.88
700,800,116.56
700,900,122.23
700,1000,128.1
700,1100,133.78
700,1200,139.5
700,1300,145.18
700,1400,151.13
700,1500,156.85
700,1600,162.53
700,1700,168.39
700,1800,174.07
800,500,104.28
800,600,110.2
800,700,116.16
800,800,122.08
800,900,128.0
800,1000,134.1
800,1100,140.02
800,1200,145.98
800,1300,151.9
800,1400,158.1
800,1500,164.06
800,1600,169.97
800,1700,176.08
800,1800,182.0
900,500,109.08
900,600,115.24
900,700,121.44
900,800,127.6
900,900,133.76
900,1000,140.1
900,1100,146.26
900,1200,152.46
900,1300,158.62
900,1400,165.06
900,1500,171.26
900,1600,177.42
900,1700,183.77
900,1800,189.93
1000,500,113.92
1000,600,120.32
1000,700,126.76
1000,800,133.16
1000,900,139.56
1000,1000,146.15
1000,1100,152.55
1000,1200,158.99
1000,1300,165.39
1000,1400,172.07
1000,1500,178.51
1000,1600,184.91
1000,1700,191.49
1000,1800,197.89
1100,500,118.72
1100,600,125.36
1100,700,132.04
1100,800,138.68
1100,900,145.32
1100,1000,152.15
1100,1100,158.79
1100,1200,165.47
1100,1300,172.11
1100,1400,179.03
1100,1500,185.71
1100,1600,192.35
1100,1700,199.18
1100,1800,205.82
1200,500,123.56
1200,600,130.45
1200,700,137.37
1200,800,144.25
1200,900,151.13
1200,1000,158.19
1200,1100,165.08
1200,1200,172.0
1200,1300,178.88
1200,1400,186.04
1200,1500,192.96
1200,1600,199.84
1200,1700,206.91
1200,1800,213.79
1300,500,128.37
1300,600,135.49
1300,700,142.65
1300,800,149.77
1300,900,156.89
1300,1000,164.2
1300,1100,171.32
1300,1200,178.48
1300,1300,185.6
1300,1400,193.0
1300,1500,200.17
1300,1600,207.29
1300,1700,214.6
1300,1800,221.72
1400,500,133.17
1400,600,140.53
1400,700,147.93
1400,800,155.29
1400,900,162.65
1400,1000,170.2
1400,1100,177.56
1400,1200,184.97
1400,1300,192.33
1400,1400,199.97
1400,1500,207.37
1400,1600,214.73
1400,1700,222.28
1400,1800,229.64
1500,500,138.06
1500,600,145.66
1500,700,153.3
1500,800,160.9
1500,900,168.5
1500,1000,176.29
1500,1100,183.9
1500,1200,191.54
1500,1300,199.14
1500,1400,207.02
1500,1500,214.67
1500,1600,222.27
1500,1700,230.06
1500,1800,237.66
1600,500,142.86
1600,600,150.7
1600,700,158.58
1600,800,166.42
1600,900,174.27
1600,1000,182.3
1600,1100,190.14
1600,1200,198.02
1600,1300,205.87
1600,1400,213.99
1600,1500,221.87
1600,1600,229.71
1600,1700,237.74
1600,1800,245.59
1700,500,147.7
1700,600,155.78
1700,700,163.91
1700,800,171.99
1700,900,180.07
1700,1000,188.34
1700,1100,196.42
1700,1200,204.55
1700,1300,212.63
1700,1400,220.99
1700,1500,229.12
1700,1600,237.2
1700,1700,245.47
1700,1800,253.56
1800,500,152.5
1800,600,160.82
1800,700,169.19
1800,800,177.51
1800,900,185.83
1800,1000,194.34
1800,1100,202.67
1800,1200,211.03
1800,1300,219.36
1800,1400,227.96
1800,1500,236.32
1800,1600,244.65
1800,1700,253.16
1800,1800,261.48
1900,500,157.3
1900,600,165.86
1900,700,174.47
1900,800,183.03
1900,900,191.6
1900,1000,200.35
1900,1100,208.91
1900,1200,217.52
1900,1300,226.08
1900,1400,234.92
1900,1500,243.53
1900,1600,252.09
1900,1700,260.85
1900,1800,269.41
2000,500,162.14
2000,600,170.95
2000,700,179.79
2000,800,188.6
2000,900,197.4
2000,1000,206.39
2000,1100,215.2
2000,1200,224.04
2000,1300,232.85
2000,1400,241.93
2000,1500,250.78
2000,1600,259.58
2000,1700,268.57
2000,1800,277.38
