width,height,price
500,500,89.56
500,600,94.1
500,700,98.69
500,800,103.46
500,900,108.0
500,1000,112.73
500,1100,117.27
500,1200,121.86
500,1300,126.4
500,1400,131.22
500,1500,135.8
500,1600,140.35
500,1700,145.07
500,1800,149.62
600,500,95.06
600,600,99.85
600,700,104.9
600,800,109.68
600,900,114.47
600,1000,119.43
600,1100,124.22
600,1200,129.04
600,1300,133.83
600,1400,138.89
600,1500,143.71
600,1600,148.49
600,1700,153.46
600,1800,158.25
700,500,100.56
700,600,105.81
700,700,110.88
700,800,115.9
700,900,120.92
700,1000,126.13
700,1100,131.16
700,1200,136.22
700,1300,141.25
700,1400,146.55
700,1500,151.61
700,1600,156.63
700,1700,161.84
700,1800,166.87
800,500,106.24
800,600,111.51
800,700,116.81
800,800,122.08
800,900,127.34
800,1000,132.79
800,1100,138.06
800,1200,143.36
800,1300,148.62
800,1400,154.17
800,1500,159.47
800,1600,164.74
800,1700,170.19
800,1800,175.45
900,500,111.7
900,600,117.2
900,700,122.75
900,800,128.25
900,900,133.76
900,1000,139.45
900,1100,144.95
900,1200,150.5
900,1300,156.0
900,1400,161.78
900,1500,167.33
900,1600,172.84
900,1700,178.53
900,1800,184.03
1000,500,117.2
1000,600,122.94
1000,700,128.73
1000,800,134.47
1000,900,140.22
1000,1000,146.15
1000,1100,151.89
1000,1200,157.68
1000,1300,163.42
1000,1400,169.45
1000,1500,175.23
1000,1600,180.98
1000,1700,186.91
1000,1800,192.66
1100,500,122.65
1100,600,128.64
1100,700,134.66
1100,800,140.65
1100,900,146.63
1100,1000,152.81
1100,1100,158.79
1100,1200,164.82
1100,1300,170.8
1100,1400,177.07
1100,1500,183.09
1100,1600,189.08
1100,1700,195.25
1100,1800,201.24
1200,500,128.15
1200,600,134.37
1200,700,140.64
1200,800,146.87
1200,900,153.09
1200,1000,159.5
1200,1100,165.73
1200,1200,172.0
1200,1300,178.22
1200,1400,184.73
1200,1500,191.0
1200,1600,197.22
1200,1700,203.63
1200,1800,209.86
1300,500,133.6
1300,600,140.07
1300,700,146.58
1300,800,153.04
1300,900,159.51
1300,1000,166.16
1300,1100,172.63
1300,1200,179.14
1300,1300,185.6
1300,1400,192.35
1300,1500,198.86
1300,1600,205.32
1300,1700,211.98
1300,1800,218.44
1400,500,139.06
1400,600,145.77
1400,700,152.51
1400,800,159.22
1400,900,165.93
1400,1000,172.82
1400,1100,179.53
1400,1200,186.28
1400,1300,192.98
1400,1400,199.97
1400,1500,206.72
1400,1600,213.42
1400,1700,220.32
1400,1800,227.02
1500,500,144.61
1500,600,151.55
1500,700,158.54
1500,800,165.49
1500,900,172.43
1500,1000,179.57
1500,1100,186.52
1500,1200,193.51
1500,1300,200.45
1500,1400,207.68
1500,1500,214.67
1500,1600,221.61
1500,1700,228.75
1500,1800,235.7
1600,500,150.06
1600,600,157.25
1600,700,164.48
1600,800,171.66
1600,900,178.85
1600,1000,186.23
1600,1100,193.41
1600,1200,200.64
1600,1300,207.83
1600,1400,215.3
1600,1500,222.53
1600,1600,229.71
1600,1700,237.09
1600,1800,244.28
1700,500,155.56
1700,600,162.99
1700,700,170.45
1700,800,177.88
1700,900,185.31
1700,1000,192.93
1700,1100,200.35
1700,1200,207.83
1700,1300,215.25
1700,1400,222.96
1700,1500,230.43
1700,1600,237.86
1700,1700,245.47
1700,1800,252.9
1800,500,161.01
1800,600,168.68
1800,700,176.39
1800,800,184.06
1800,900,191.73
1800,1000,199.58
1800,1100,207.25
1800,1200,214.96
1800,1300,222.63
1800,1400,230.58
1800,1500,238.29
1800,1600,245.96
1800,1700,253.81
1800,1800,261.48
1900,500,166.47
1900,600,174.38
1900,700,182.33
1900,800,190.24
1900,900,198.15
1900,1000,206.24
1900,1100,214.15
1900,1200,222.1
1900,1300,230.01
1900,1400,238.2
1900,1500,246.15
1900,1600,254.06
1900,1700,262.15
1900,1800,270.06
2000,500,171.97
2000,600,180.11
2000,700,188.31
2000,800,196.46
2000,900,204.61
2000,1000,212.94
2000,1100,221.09
2000,1200,229.28
2000,1300,237.43
2000,1400,245.86
2000,1500,254.05
2000,1600,262.2
2000,1700,270.54
2000,1800,278.69
