width,height,price
500,500,86.14
500,600,91.5
500,700,96.9
500,800,102.49
500,900,107.85
500,1000,113.39
500,1100,118.75
500,1200,124.15
500,1300,129.51
500,1400,135.15
500,1500,140.55
500,1600,145.91
500,1700,151.46
500,1800,156.82
600,500,90.73
600,600,96.33
600,700,102.2
600,800,107.8
600,900,113.4
600,1000,119.18
600,1100,124.78
600,1200,130.43
600,1300,136.03
600,1400,141.9
600,1500,147.55
600,1600,153.15
600,1700,158.93
600,1800,164.53
700,500,95.31
700,600,101.38
700,700,107.26
700,800,113.1
700,900,118.94
700,1000,124.97
700,1100,130.81
700,1200,136.69
700,1300,142.53
700,1400,148.65
700,1500,154.53
700,1600,160.37
700,1700,166.4
700,1800,172.24
800,500,100.08
800,600,106.16
800,700,112.29
800,800,118.37
800,900,124.45
800,1000,130.72
800,1100,136.8
800,1200,142.92
800,1300,149.0
800,1400,155.36
800,1500,161.48
800,1600,167.56
800,1700,173.83
800,1800,179.91
900,500,104.63
900,600,110.95
900,700,117.31
900,800,123.63
900,900,129.95
900,1000,136.46
900,1100,142.78
900,1200,149.14
900,1300,155.47
900,1400,162.06
900,1500,168.43
900,1600,174.75
900,1700,181.26
900,1800,187.58
1000,500,109.21
1000,600,115.77
1000,700,122.38
1000,800,128.94
1000,900,135.5
1000,1000,142.25
1000,1100,148.81
1000,1200,155.41
1000,1300,161.97
1000,1400,168.81
1000,1500,175.42
1000,1600,181.98
1000,1700,188.73
1000,1800,195.29
1100,500,113.75
1100,600,120.55
1100,700,127.4
1100,800,134.2
1100,900,141.0
1100,1000,147.99
1100,1100,154.79
1100,1200,161.64
1100,1300,168.44
1100,1400,175.52
1100,1500,182.36
1100,1600,189.17
1100,1700,196.16
1100,1800,202.96
1200,500,118.34
1200,600,125.38
1200,700,132.46
1200,800,139.51
1200,900,146.55
1200,1000,153.78
1200,1100,160.82
1200,1200,167.91
1200,1300,174.95
1200,1400,182.27
1200,1500,189.35
1200,1600,196.4
1200,1700,203.63
1200,1800,210.67
1300,500,122.88
1300,600,130.16
1300,700,137.49
1300,800,144.77
1300,900,152.05
1300,1000,159.52
1300,1100,166.81
1300,1200,174.13
1300,1300,181.42
1300,1400,188.98
1300,1500,196.3
1300,1600,203.58
1300,1700,211.06
1300,1800,218.34
1400,500,127.42
1400,600,134.95
1400,700,142.51
1400,800,150.03
1400,900,157.56
1400,1000,165.27
1400,1100,172.79
1400,1200,180.36
1400,1300,187.88
1400,1400,195.68
1400,1500,203.25
1400,1600,210.77
1400,1700,218.48
1400,1800,226.01
1500,500,132.05
1500,600,139.82
1500,700,147.62
1500,800,155.39
1500,900,163.15
1500,1000,171.1
1500,1100,178.87
1500,1200,186.67
1500,1300,194.44
1500,1400,202.48
1500,1500,210.29
1500,1600,218.05
1500,1700,226.0
1500,1800,233.77
1600,500,136.6
1600,600,144.6
1600,700,152.65
1600,800,160.65
1600,900,168.66
1600,1000,176.85
1600,1100,184.85
1600,1200,192.9
1600,1300,200.9
1600,1400,209.19
1600,1500,217.23
1600,1600,225.24
1600,1700,233.43
1600,1800,241.44
1700,500,141.18
1700,600,149.43
1700,700,157.71
1700,800,165.96
1700,900,174.2
1700,1000,182.64
1700,1100,190.88
1700,1200,199.17
1700,1300,207.41
1700,1400,215.94
1700,1500,224.22
1700,1600,232.47
1700,1700,240.9
1700,1800,249.15
1800,500,145.72
1800,600,154.21
1800,700,162.74
1800,800,171.22
1800,900,179.71
1800,1000,188.38
1800,1100,196.87
1800,1200,205.39
1800,1300,213.88
1800,1400,222.64
1800,1500,231.17
1800,1600,239.66
1800,1700,248.33
1800,1800,256.81
1900,500,150.27
1900,600,158.99
1900,700,167.76
1900,800,176.49
1900,900,185.21
1900,1000,194.13
1900,1100,202.85
1900,1200,211.62
1900,1300,220.35
1900,1400,229.35
1900,1500,238.12
1900,1600,246.84
1900,1700,255.76
1900,1800,264.48
2000,500,154.85
2000,600,163.82
2000,700,172.83
2000,800,181.79
2000,900,190.76
2000,1000,199.91
2000,1100,208.88
2000,1200,217.89
2000,1300,226.85
2000,1400,236.1
2000,1500,245.11
2000,1600,254.07
2000,1700,263.23
2000,1800,272.19
