width,height,price
500,500,89.56
500,600,94.1
500,700,98.69
500,800,103.46
500,900,108.0
500,1000,112.73
500,1100,117.27
500,1200,121.85
500,1300,126.4
500,1400,131.22
500,1500,135.8
500,1600,140.34
500,1700,145.07
500,1800,149.62
600,500,95.01
600,600,99.79
600,700,104.85
600,800,109.63
600,900,114.41
600,1000,119.38
600,1100,124.16
600,1200,128.99
600,1300,133.77
600,1400,138.83
600,1500,143.66
600,1600,148.44
600,1700,153.41
600,1800,158.19
700,500,100.46
700,600,105.71
700,700,110.77
700,800,115.8
700,900,120.82
700,1000,126.03
700,1100,131.05
700,1200,136.12
700,1300,141.14
700,1400,146.44
700,1500,151.51
700,1600,156.53
700,1700,161.74
700,1800,166.76
800,500,106.09
800,600,111.35
800,700,116.66
800,800,121.92
800,900,127.18
800,1000,132.63
800,1100,137.9
800,1200,143.2
800,1300,148.47
800,1400,154.01
800,1500,159.31
800,1600,164.58
800,1700,170.03
800,1800,175.29
900,500,111.49
900,600,117.0
900,700,122.54
900,800,128.05
900,900,133.55
900,1000,139.24
900,1100,144.74
900,1200,150.29
900,1300,155.79
900,1400,161.58
900,1500,167.12
900,1600,172.63
900,1700,178.32
900,1800,183.82
1000,500,116.94
1000,600,122.68
1000,700,128.47
1000,800,134.21
1000,900,139.96
1000,1000,145.89
1000,1100,151.63
1000,1200,157.42
1000,1300,163.16
1000,1400,169.19
1000,1500,174.97
1000,1600,180.72
1000,1700,186.65
1000,1800,192.39
1100,500,122.34
1100,600,128.33
1100,700,134.35
1100,800,140.34
1100,900,146.32
1100,1000,152.49
1100,1100,158.48
1100,1200,164.51
1100,1300,170.49
1100,1400,176.75
1100,1500,182.78
1100,1600,188.77
1100,1700,194.94
1100,1800,200.92
1200,500,127.79
1200,600,134.01
1200,700,140.28
1200,800,146.5
1200,900,152.73
1200,1000,159.14
1200,1100,165.37
1200,1200,171.63
1200,1300,177.86
1200,1400,184.36
1200,1500,190.63
1200,1600,196.86
1200,1700,203.27
1200,1800,209.5
1300,500,133.19
1300,600,139.65
1300,700,146.16
1300,800,152.63
1300,900,159.09
1300,1000,165.75
1300,1100,172.21
1300,1200,178.72
1300,1300,185.19
1300,1400,191.93
1300,1500,198.44
1300,1600,204.91
1300,1700,211.56
1300,1800,218.03
1400,500,138.59
1400,600,145.3
1400,700,152.05
1400,800,158.75
1400,900,165.46
1400,1000,172.35
1400,1100,179.06
1400,1200,185.81
1400,1300,192.52
1400,1400,199.5
1400,1500,206.25
1400,1600,212.96
1400,1700,219.85
1400,1800,226.56
1500,500,144.09
1500,600,151.03
1500,700,158.02
1500,800,164.97
1500,900,171.92
1500,1000,179.05
1500,1100,186.0
1500,1200,192.99
1500,1300,199.93
1500,1400,207.16
1500,1500,214.15
1500,1600,221.09
1500,1700,228.23
1500,1800,235.18
1600,500,149.49
1600,600,156.68
1600,700,163.91
1600,800,171.09
1600,900,178.28
1600,1000,185.66
1600,1100,192.84
1600,1200,200.07
1600,1300,207.26
1600,1400,214.73
1600,1500,221.96
1600,1600,229.14
1600,1700,236.52
1600,1800,243.71
1700,500,154.94
1700,600,162.36
1700,700,169.83
1700,800,177.26
1700,900,184.69
1700,1000,192.3
1700,1100,199.73
1700,1200,207.2
1700,1300,214.63
1700,1400,222.34
1700,1500,229.81
1700,1600,237.23
1700,1700,244.85
1700,1800,252.28
1800,500,160.34
1800,600,168.01
1800,700,175.72
1800,800,183.39
1800,900,191.05
1800,1000,198.91
1800,1100,206.58
1800,1200,214.29
1800,1300,221.96
1800,1400,229.9
1800,1500,237.61
1800,1600,245.28
1800,1700,253.14
1800,1800,260.81
1900,500,165.74
1900,600,173.65
1900,700,181.6
1900,800,189.51
1900,900,197.42
1900,1000,205.52
1900,1100,213.42
1900,1200,221.38
1900,1300,229.29
1900,1400,237.47
1900,1500,245.42
1900,1600,253.33
1900,1700,261.43
1900,1800,269.34
2000,500,171.19
2000,600,179.34
2000,700,187.53
2000,800,195.68
2000,900,203.83
2000,1000,212.16
2000,1100,220.31
2000,1200,228.51
2000,1300,236.65
2000,1400,245.08
2000,1500,253.27
2000,1600,261.42
2000,1700,269.76
2000,1800,277.91
