width,height,price
500,500,146.85
500,600,154.39
500,700,161.98
500,800,169.75
500,900,177.29
500,1000,185.02
500,1100,192.57
500,1200,200.15
500,1300,207.7
500,1400,215.79
500,1500,223.38
500,1600,230.92
500,1700,238.65
500,1800,246.2
600,500,153.51
600,600,161.33
600,700,169.41
600,800,177.22
600,900,185.03
600,1000,193.03
600,1100,200.85
600,1200,208.7
600,1300,216.52
600,1400,224.88
600,1500,232.74
600,1600,240.55
600,1700,248.55
600,1800,256.36
700,500,160.18
700,600,168.48
700,700,176.61
700,800,184.69
700,900,192.77
700,1000,201.04
700,1100,209.12
700,1200,217.25
700,1300,225.33
700,1400,233.97
700,1500,242.09
700,1600,250.17
700,1700,258.44
700,1800,266.52
800,500,167.02
800,600,175.37
800,700,183.77
800,800,192.12
800,900,200.47
800,1000,209.01
800,1100,217.36
800,1200,225.75
800,1300,234.1
800,1400,243.01
800,1500,251.4
800,1600,259.75
800,1700,268.29
800,1800,276.64
900,500,173.64
900,600,182.26
900,700,190.92
900,800,199.54
900,900,208.16
900,1000,216.97
900,1100,225.59
900,1200,234.25
900,1300,242.87
900,1400,252.05
900,1500,260.71
900,1600,269.33
900,1700,278.14
900,1800,286.76
1000,500,180.3
1000,600,189.19
1000,700,198.12
1000,800,207.01
1000,900,215.9
1000,1000,224.98
1000,1100,233.87
1000,1200,242.8
1000,1300,251.69
1000,1400,261.13
1000,1500,270.06
1000,1600,278.95
1000,1700,288.03
1000,1800,296.92
1100,500,186.92
1100,600,196.08
1100,700,205.28
1100,800,214.44
1100,900,223.6
1100,1000,232.94
1100,1100,242.1
1100,1200,251.3
1100,1300,260.46
1100,1400,270.17
1100,1500,279.37
1100,1600,288.53
1100,1700,297.88
1100,1800,307.04
1200,500,193.58
1200,600,203.01
1200,700,212.48
1200,800,221.91
1200,900,231.34
1200,1000,240.95
1200,1100,250.38
1200,1200,259.85
1200,1300,269.27
1200,1400,279.26
1200,1500,288.73
1200,1600,298.15
1200,1700,307.77
1200,1800,317.2
1300,500,200.2
1300,600,209.9
1300,700,219.64
1300,800,229.34
1300,900,239.03
1300,1000,248.91
1300,1100,258.61
1300,1200,268.35
1300,1300,278.05
1300,1400,288.3
1300,1500,298.04
1300,1600,307.73
1300,1700,317.62
1300,1800,327.31
1400,500,206.82
1400,600,216.79
1400,700,226.8
1400,800,236.76
1400,900,246.73
1400,1000,256.88
1400,1100,266.85
1400,1200,276.85
1400,1300,286.82
1400,1400,297.34
1400,1500,307.35
1400,1600,317.31
1400,1700,327.47
1400,1800,337.43
1500,500,213.53
1500,600,223.77
1500,700,234.04
1500,800,244.28
1500,900,254.51
1500,1000,264.94
1500,1100,275.17
1500,1200,285.45
1500,1300,295.68
1500,1400,306.47
1500,1500,316.75
1500,1600,326.98
1500,1700,337.41
1500,1800,347.64
1600,500,220.15
1600,600,230.66
1600,700,241.2
1600,800,251.71
1600,900,262.21
1600,1000,272.9
1600,1100,283.4
1600,1200,293.95
1600,1300,304.45
1600,1400,315.51
1600,1500,326.06
1600,1600,336.56
1600,1700,347.25
1600,1800,357.76
1700,500,226.82
1700,600,237.59
1700,700,248.4
1700,800,259.17
1700,900,269.95
1700,1000,280.91
1700,1100,291.68
1700,1200,302.5
1700,1300,313.27
1700,1400,324.6
1700,1500,335.41
1700,1600,346.19
1700,1700,357.15
1700,1800,367.92
1800,500,233.44
1800,600,244.48
1800,700,255.56
1800,800,266.6
1800,900,277.64
1800,1000,288.87
1800,1100,299.92
1800,1200,311.0
1800,1300,322.04
1800,1400,333.64
1800,1500,344.72
1800,1600,355.77
1800,1700,366.99
1800,1800,378.04
1900,500,240.05
1900,600,251.37
1900,700,262.72
1900,800,274.03
1900,900,285.34
1900,1000,296.84
1900,1100,308.15
1900,1200,319.5
1900,1300,330.81
1900,1400,342.68
1900,1500,354.03
1900,1600,365.35
1900,1700,376.84
1900,1800,388.16
2000,500,246.72
2000,600,258.3
2000,700,269.92
2000,800,281.5
2000,900,293.08
2000,1000,304.85
2000,1100,316.43
2000,1200,328.05
2000,1300,339.63
2000,1400,351.76
2000,1500,363.39
2000,1600,374.97
2000,1700,386.73
2000,1800,398.32
