width,height,price
500,500,424.88
500,600,431.24
500,700,437.65
500,800,444.24
500,900,450.6
500,1000,457.15
500,1100,463.51
500,1200,469.91
500,1300,476.27
500,1400,483.19
500,1500,489.59
500,1600,495.96
500,1700,502.5
500,1800,508.87
600,500,455.35
600,600,461.98
600,700,468.88
600,800,475.51
600,900,482.15
600,1000,488.96
600,1100,495.59
600,1200,502.27
600,1300,508.9
600,1400,516.08
600,1500,522.75
600,1600,529.39
600,1700,536.2
600,1800,542.83
700,500,485.71
700,600,492.84
700,700,499.78
700,800,506.68
700,900,513.58
700,1000,520.66
700,1100,527.56
700,1200,534.51
700,1300,541.41
700,1400,548.86
700,1500,555.8
700,1600,562.7
700,1700,569.79
700,1800,576.69
800,500,516.02
800,600,523.18
800,700,530.4
800,800,537.56
800,900,544.73
800,1000,552.09
800,1100,559.26
800,1200,566.47
800,1300,573.64
800,1400,581.36
800,1500,588.57
800,1600,595.74
800,1700,603.1
800,1800,610.26
900,500,546.15
900,600,553.59
900,700,561.07
900,800,568.51
900,900,575.95
900,1000,583.57
900,1100,591.01
900,1200,598.49
900,1300,605.93
900,1400,613.92
900,1500,621.4
900,1600,628.84
900,1700,636.46
900,1800,643.9
1000,500,576.51
1000,600,584.22
1000,700,591.97
1000,800,599.67
1000,900,607.38
1000,1000,615.27
1000,1100,622.98
1000,1200,630.73
1000,1300,638.44
1000,1400,646.7
1000,1500,654.45
1000,1600,662.16
1000,1700,670.05
1000,1800,677.76
1100,500,606.59
1100,600,614.57
1100,700,622.58
1100,800,630.56
1100,900,638.54
1100,1000,646.7
1100,1100,654.67
1100,1200,662.69
1100,1300,670.67
1100,1400,679.2
1100,1500,687.22
1100,1600,695.2
1100,1700,703.36
1100,1800,711.34
1200,500,636.77
1200,600,645.02
1200,700,653.3
1200,800,661.55
1200,900,669.79
1200,1000,678.23
1200,1100,686.47
1200,1200,694.76
1200,1300,703.0
1200,1400,711.8
1200,1500,720.09
1200,1600,728.34
1200,1700,736.77
1200,1800,745.02
1300,500,667.78
1300,600,676.29
1300,700,684.85
1300,800,693.36
1300,900,701.88
1300,1000,710.58
1300,1100,719.09
1300,1200,727.65
1300,1300,736.16
1300,1400,745.23
1300,1500,753.79
1300,1600,762.3
1300,1700,771.01
1300,1800,779.52
1400,500,697.17
1400,600,705.95
1400,700,714.77
1400,800,723.56
1400,900,732.34
1400,1000,741.31
1400,1100,750.09
1400,1200,758.92
1400,1300,767.7
1400,1400,777.04
1400,1500,785.87
1400,1600,794.65
1400,1700,803.62
1400,1800,812.41
1500,500,727.4
1500,600,736.45
1500,700,745.54
1500,800,754.59
1500,900,763.65
1500,1000,772.89
1500,1100,781.94
1500,1200,791.03
1500,1300,800.09
1500,1400,809.69
1500,1500,818.79
1500,1600,827.84
1500,1700,837.08
1500,1800,846.13
1600,500,757.99
1600,600,767.31
1600,700,776.68
1600,800,786.0
1600,900,795.32
1600,1000,804.83
1600,1100,814.15
1600,1200,823.51
1600,1300,832.84
1600,1400,842.71
1600,1500,852.08
1600,1600,861.4
1600,1700,870.91
1600,1800,880.23
1700,500,788.17
1700,600,797.76
1700,700,807.4
1700,800,816.99
1700,900,826.58
1700,1000,836.36
1700,1100,845.95
1700,1200,855.58
1700,1300,865.17
1700,1400,875.32
1700,1500,884.95
1700,1600,894.54
1700,1700,904.32
1700,1800,913.91
1800,500,818.66
1800,600,828.52
1800,700,838.42
1800,800,848.28
1800,900,858.14
1800,1000,868.19
1800,1100,878.05
1800,1200,887.95
1800,1300,897.81
1800,1400,908.23
1800,1500,918.13
1800,1600,927.99
1800,1700,938.04
1800,1800,947.9
1900,500,848.57
1900,600,858.7
1900,700,868.87
1900,800,879.0
1900,900,889.12
1900,1000,899.44
1900,1100,909.57
1900,1200,919.74
1900,1300,929.87
1900,1400,940.55
1900,1500,950.73
1900,1600,960.85
1900,1700,971.17
1900,1800,981.3
2000,500,878.75
2000,600,889.15
2000,700,899.59
2000,800,909.98
2000,900,920.38
2000,1000,930.97
2000,1100,941.37
2000,1200,951.81
2000,1300,962.2
2000,1400,973.16
2000,1500,983.6
2000,1600,994.0
2000,1700,1004.58
2000,1800,1014.98
