width,height,price
500,500,160.58
500,600,166.94
500,700,173.34
500,800,179.93
500,900,186.3
500,1000,192.84
500,1100,199.21
500,1200,205.61
500,1300,211.97
500,1400,218.89
500,1500,225.29
500,1600,231.65
500,1700,238.2
500,1800,244.56
600,500,170.02
600,600,176.65
600,700,183.55
600,800,190.19
600,900,196.82
600,1000,203.63
600,1100,210.26
600,1200,216.94
600,1300,223.57
600,1400,230.75
600,1500,237.43
600,1600,244.06
600,1700,250.87
600,1800,257.5
700,500,179.44
700,600,186.57
700,700,193.51
700,800,200.41
700,900,207.31
700,1000,214.4
700,1100,221.3
700,1200,228.24
700,1300,235.14
700,1400,242.59
700,1500,249.53
700,1600,256.43
700,1700,263.52
700,1800,270.42
800,500,189.06
800,600,196.23
800,700,203.44
800,800,210.61
800,900,217.78
800,1000,225.14
800,1100,232.31
800,1200,239.52
800,1300,246.69
800,1400,254.41
800,1500,261.62
800,1600,268.79
800,1700,276.14
800,1800,283.31
900,500,198.44
900,600,205.88
900,700,213.36
900,800,220.79
900,900,228.23
900,1000,235.86
900,1100,243.29
900,1200,250.77
900,1300,258.21
900,1400,266.2
900,1500,273.68
900,1600,281.12
900,1700,288.75
900,1800,296.19
1000,500,207.86
1000,600,215.56
1000,700,223.31
1000,800,231.02
1000,900,238.73
1000,1000,246.62
1000,1100,254.33
1000,1200,262.07
1000,1300,269.78
1000,1400,278.04
1000,1500,285.79
1000,1600,293.5
1000,1700,301.39
1000,1800,309.1
1100,500,217.25
1100,600,225.23
1100,700,233.25
1100,800,241.22
1100,900,249.2
1100,1000,257.36
1100,1100,265.34
1100,1200,273.35
1100,1300,281.33
1100,1400,289.86
1100,1500,297.88
1100,1600,305.86
1100,1700,314.02
1100,1800,322.0
1200,500,226.67
1200,600,234.91
1200,700,243.2
1200,800,251.45
1200,900,259.69
1200,1000,268.12
1200,1100,276.37
1200,1200,284.65
1200,1300,292.9
1200,1400,301.7
1200,1500,309.99
1200,1600,318.23
1200,1700,326.67
1200,1800,334.91
1300,500,236.06
1300,600,244.58
1300,700,253.13
1300,800,261.65
1300,900,270.16
1300,1000,278.86
1300,1100,287.38
1300,1200,295.93
1300,1300,304.45
1300,1400,313.52
1300,1500,322.07
1300,1600,330.59
1300,1700,339.29
1300,1800,347.81
1400,500,245.44
1400,600,254.22
1400,700,263.05
1400,800,271.83
1400,900,280.61
1400,1000,289.58
1400,1100,298.37
1400,1200,307.19
1400,1300,315.98
1400,1400,325.32
1400,1500,334.14
1400,1600,342.92
1400,1700,351.9
1400,1800,360.68
1500,500,254.9
1500,600,263.96
1500,700,273.05
1500,800,282.1
1500,900,291.15
1500,1000,300.39
1500,1100,309.45
1500,1200,318.54
1500,1300,327.6
1500,1400,337.2
1500,1500,346.3
1500,1600,355.35
1500,1700,364.59
1500,1800,373.64
1600,500,264.3
1600,600,273.62
1600,700,282.98
1600,800,292.31
1600,900,301.63
1600,1000,311.14
1600,1100,320.46
1600,1200,329.82
1600,1300,339.14
1600,1400,349.02
1600,1500,358.38
1600,1600,367.71
1600,1700,377.21
1600,1800,386.54
1700,500,273.72
1700,600,283.31
1700,700,292.94
1700,800,302.53
1700,900,312.12
1700,1000,321.9
1700,1100,331.49
1700,1200,341.12
1700,1300,350.71
1700,1400,360.86
1700,1500,370.49
1700,1600,380.08
1700,1700,389.86
1700,1800,399.45
1800,500,283.11
1800,600,292.97
1800,700,302.87
1800,800,312.73
1800,900,322.59
1800,1000,332.64
1800,1100,342.5
1800,1200,352.4
1800,1300,362.26
1800,1400,372.68
1800,1500,382.58
1800,1600,392.44
1800,1700,402.49
1800,1800,412.35
1900,500,292.49
1900,600,302.62
1900,700,312.79
1900,800,322.92
1900,900,333.04
1900,1000,343.36
1900,1100,353.49
1900,1200,363.66
1900,1300,373.79
1900,1400,384.47
1900,1500,394.65
1900,1600,404.77
1900,1700,415.09
1900,1800,425.22
2000,500,301.9
2000,600,312.3
2000,700,322.74
2000,800,333.14
2000,900,343.54
2000,1000,354.12
2000,1100,364.52
2000,1200,374.96
2000,1300,385.36
2000,1400,396.31
2000,1500,406.75
2000,1600,417.15
2000,1700,427.74
2000,1800,438.14
