width,height,price
500,500,145.91
500,600,153.27
500,700,160.66
500,800,168.25
500,900,175.6
500,1000,183.15
500,1100,190.5
500,1200,197.9
500,1300,205.26
500,1400,213.17
500,1500,220.57
500,1600,227.93
500,1700,235.47
500,1800,242.82
600,500,152.58
600,600,160.2
600,700,168.1
600,800,175.72
600,900,183.35
600,1000,191.16
600,1100,198.79
600,1200,206.45
600,1300,214.08
600,1400,222.26
600,1500,229.93
600,1600,237.55
600,1700,245.36
600,1800,252.99
700,500,159.24
700,600,167.36
700,700,175.3
700,800,183.19
700,900,191.09
700,1000,199.17
700,1100,207.06
700,1200,215.0
700,1300,222.89
700,1400,231.34
700,1500,239.28
700,1600,247.17
700,1700,255.25
700,1800,263.15
800,500,166.09
800,600,174.25
800,700,182.45
800,800,190.62
800,900,198.78
800,1000,207.13
800,1100,215.3
800,1200,223.5
800,1300,231.67
800,1400,240.38
800,1500,248.59
800,1600,256.75
800,1700,265.1
800,1800,273.27
900,500,172.7
900,600,181.14
900,700,189.61
900,800,198.04
900,900,206.48
900,1000,215.1
900,1100,223.53
900,1200,232.0
900,1300,240.44
900,1400,249.42
900,1500,257.9
900,1600,266.33
900,1700,274.95
900,1800,283.39
1000,500,179.37
1000,600,188.07
1000,700,196.81
1000,800,205.51
1000,900,214.22
1000,1000,223.1
1000,1100,231.81
1000,1200,240.55
1000,1300,249.25
1000,1400,258.51
1000,1500,267.25
1000,1600,275.95
1000,1700,284.84
1000,1800,293.55
1100,500,185.99
1100,600,194.96
1100,700,203.97
1100,800,212.94
1100,900,221.91
1100,1000,231.07
1100,1100,240.04
1100,1200,249.05
1100,1300,258.02
1100,1400,267.55
1100,1500,276.56
1100,1600,285.53
1100,1700,294.69
1100,1800,303.66
1200,500,192.65
1200,600,201.89
1200,700,211.17
1200,800,220.41
1200,900,229.65
1200,1000,239.08
1200,1100,248.32
1200,1200,257.6
1200,1300,266.84
1200,1400,276.63
1200,1500,285.92
1200,1600,295.16
1200,1700,304.58
1200,1800,313.82
1300,500,199.27
1300,600,208.78
1300,700,218.33
1300,800,227.84
1300,900,237.34
1300,1000,247.04
1300,1100,256.55
1300,1200,266.1
1300,1300,275.61
1300,1400,285.67
1300,1500,295.23
1300,1600,304.74
1300,1700,314.43
1300,1800,323.94
1400,500,205.89
1400,600,215.67
1400,700,225.48
1400,800,235.26
1400,900,245.04
1400,1000,255.01
1400,1100,264.78
1400,1200,274.6
1400,1300,284.38
1400,1400,294.72
1400,1500,304.54
1400,1600,314.32
1400,1700,324.28
1400,1800,334.06
1500,500,212.6
1500,600,222.64
1500,700,232.73
1500,800,242.78
1500,900,252.83
1500,1000,263.06
1500,1100,273.11
1500,1200,283.2
1500,1300,293.25
1500,1400,303.85
1500,1500,313.94
1500,1600,323.99
1500,1700,334.22
1500,1800,344.27
1600,500,219.22
1600,600,229.53
1600,700,239.89
1600,800,250.21
1600,900,260.52
1600,1000,271.03
1600,1100,281.34
1600,1200,291.7
1600,1300,302.02
1600,1400,312.89
1600,1500,323.25
1600,1600,333.57
1600,1700,344.07
1600,1800,354.39
1700,500,225.88
1700,600,236.46
1700,700,247.09
1700,800,257.68
1700,900,268.26
1700,1000,279.03
1700,1100,289.62
1700,1200,300.25
1700,1300,310.83
1700,1400,321.97
1700,1500,332.6
1700,1600,343.19
1700,1700,353.96
1700,1800,364.55
1800,500,232.5
1800,600,243.35
1800,700,254.25
1800,800,265.1
1800,900,275.96
1800,1000,287.0
1800,1100,297.85
1800,1200,308.75
1800,1300,319.61
1800,1400,331.02
1800,1500,341.91
1800,1600,352.77
1800,1700,363.81
1800,1800,374.66
1900,500,239.12
1900,600,250.24
1900,700,261.41
1900,800,272.53
1900,900,283.65
1900,1000,294.96
1900,1100,306.09
1900,1200,317.25
1900,1300,328.38
1900,1400,340.06
1900,1500,351.22
1900,1600,362.35
1900,1700,373.66
1900,1800,384.78
2000,500,245.78
2000,600,257.17
2000,700,268.61
2000,800,280.0
2000,900,291.39
2000,1000,302.97
2000,1100,314.37
2000,1200,325.8
2000,1300,337.19
2000,1400,349.14
2000,1500,360.58
2000,1600,371.97
2000,1700,383.55
2000,1800,394.94
