width,height,price
500,500,145.75
500,600,152.12
500,700,158.52
500,800,165.11
500,900,171.47
500,1000,178.02
500,1100,184.38
500,1200,190.79
500,1300,197.15
500,1400,204.06
500,1500,210.47
500,1600,216.83
500,1700,223.38
500,1800,229.74
600,500,153.39
600,600,160.02
600,700,166.92
600,800,173.55
600,900,180.18
600,1000,187.0
600,1100,193.63
600,1200,200.3
600,1300,206.93
600,1400,214.12
600,1500,220.79
600,1600,227.42
600,1700,234.24
600,1800,240.87
700,500,161.01
700,600,168.14
700,700,175.08
700,800,181.98
700,900,188.88
700,1000,195.97
700,1100,202.87
700,1200,209.81
700,1300,216.71
700,1400,224.16
700,1500,231.11
700,1600,238.01
700,1700,245.09
700,1800,251.99
800,500,168.82
800,600,175.99
800,700,183.2
800,800,190.37
800,900,197.54
800,1000,204.9
800,1100,212.07
800,1200,219.28
800,1300,226.45
800,1400,234.17
800,1500,241.38
800,1600,248.55
800,1700,255.9
800,1800,263.07
900,500,176.41
900,600,183.85
900,700,191.33
900,800,198.76
900,900,206.2
900,1000,213.83
900,1100,221.26
900,1200,228.74
900,1300,236.18
900,1400,244.17
900,1500,251.65
900,1600,259.09
900,1700,266.72
900,1800,274.16
1000,500,184.03
1000,600,191.74
1000,700,199.49
1000,800,207.2
1000,900,214.9
1000,1000,222.8
1000,1100,230.5
1000,1200,238.25
1000,1300,245.96
1000,1400,254.22
1000,1500,261.97
1000,1600,269.68
1000,1700,277.57
1000,1800,285.28
1100,500,191.62
1100,600,199.59
1100,700,207.61
1100,800,215.59
1100,900,223.56
1100,1000,231.73
1100,1100,239.7
1100,1200,247.72
1100,1300,255.7
1100,1400,264.23
1100,1500,272.25
1100,1600,280.22
1100,1700,288.39
1100,1800,296.36
1200,500,199.24
1200,600,207.49
1200,700,215.77
1200,800,224.02
1200,900,232.26
1200,1000,240.7
1200,1100,248.94
1200,1200,257.23
1200,1300,265.47
1200,1400,274.27
1200,1500,282.56
1200,1600,290.81
1200,1700,299.24
1200,1800,307.49
1300,500,206.83
1300,600,215.34
1300,700,223.9
1300,800,232.41
1300,900,240.92
1300,1000,249.63
1300,1100,258.14
1300,1200,266.7
1300,1300,275.21
1300,1400,284.28
1300,1500,292.84
1300,1600,301.35
1300,1700,310.05
1300,1800,318.57
1400,500,214.41
1400,600,223.19
1400,700,232.02
1400,800,240.8
1400,900,249.58
1400,1000,258.55
1400,1100,267.34
1400,1200,276.16
1400,1300,284.95
1400,1400,294.29
1400,1500,303.11
1400,1600,311.9
1400,1700,320.87
1400,1800,329.65
1500,500,222.08
1500,600,231.14
1500,700,240.23
1500,800,249.28
1500,900,258.33
1500,1000,267.57
1500,1100,276.63
1500,1200,285.72
1500,1300,294.77
1500,1400,304.38
1500,1500,313.48
1500,1600,322.53
1500,1700,331.77
1500,1800,340.82
1600,500,229.67
1600,600,238.99
1600,700,248.35
1600,800,257.67
1600,900,266.99
1600,1000,276.5
1600,1100,285.83
1600,1200,295.19
1600,1300,304.51
1600,1400,314.39
1600,1500,323.75
1600,1600,333.07
1600,1700,342.58
1600,1800,351.9
1700,500,237.29
1700,600,246.88
1700,700,256.52
1700,800,266.11
1700,900,275.7
1700,1000,285.47
1700,1100,295.07
1700,1200,304.7
1700,1300,314.29
1700,1400,324.44
1700,1500,334.07
1700,1600,343.66
1700,1700,353.44
1700,1800,363.03
1800,500,244.88
1800,600,254.74
1800,700,264.64
1800,800,274.5
1800,900,284.36
1800,1000,294.4
1800,1100,304.26
1800,1200,314.17
1800,1300,324.03
1800,1400,334.44
1800,1500,344.34
1800,1600,354.2
1800,1700,364.25
1800,1800,374.11
1900,500,252.46
1900,600,262.59
1900,700,272.76
1900,800,282.89
1900,900,293.02
1900,1000,303.33
1900,1100,313.46
1900,1200,323.63
1900,1300,333.76
1900,1400,344.45
1900,1500,354.62
1900,1600,364.75
1900,1700,375.06
1900,1800,385.19
2000,500,260.09
2000,600,270.48
2000,700,280.92
2000,800,291.32
2000,900,301.72
2000,1000,312.31
2000,1100,322.7
2000,1200,333.14
2000,1300,343.54
2000,1400,354.49
2000,1500,364.94
2000,1600,375.33
2000,1700,385.92
2000,1800,396.32
