width,height,price
500,500,79.1
500,600,83.19
500,700,87.32
500,800,91.63
500,900,95.72
500,1000,100.0
500,1100,104.09
500,1200,108.22
500,1300,112.31
500,1400,116.49
500,1500,120.62
500,1600,124.71
500,1700,128.98
500,1800,133.07
600,500,82.86
600,600,87.17
600,700,91.75
600,800,96.07
600,900,100.38
600,1000,104.88
600,1100,109.19
600,1200,113.54
600,1300,117.86
600,1400,122.26
600,1500,126.61
600,1600,130.93
600,1700,135.42
600,1800,139.74
700,500,86.62
700,600,91.38
700,700,95.96
700,800,100.49
700,900,105.03
700,1000,109.75
700,1100,114.29
700,1200,118.86
700,1300,123.4
700,1400,128.03
700,1500,132.6
700,1600,137.14
700,1700,141.86
700,1800,146.4
800,500,90.56
800,600,95.32
800,700,100.12
800,800,104.88
800,900,109.64
800,1000,114.58
800,1100,119.34
800,1200,124.14
800,1300,128.9
800,1400,133.75
800,1500,138.55
800,1600,143.31
800,1700,148.26
800,1800,153.01
900,500,94.28
900,600,99.26
900,700,104.28
900,800,109.26
900,900,114.25
900,1000,119.41
900,1100,124.4
900,1200,129.42
900,1300,134.4
900,1400,139.47
900,1500,144.5
900,1600,149.48
900,1700,154.65
900,1800,159.63
1000,500,98.03
1000,600,103.24
1000,700,108.49
1000,800,113.69
1000,900,118.9
1000,1000,124.29
1000,1100,129.49
1000,1200,134.74
1000,1300,139.95
1000,1400,145.24
1000,1500,150.49
1000,1600,155.7
1000,1700,161.09
1000,1800,166.29
1100,500,101.75
1100,600,107.18
1100,700,112.65
1100,800,118.08
1100,900,123.5
1100,1000,129.12
1100,1100,134.55
1100,1200,140.02
1100,1300,145.45
1100,1400,150.97
1100,1500,156.44
1100,1600,161.87
1100,1700,167.48
1100,1800,172.91
1200,500,105.51
1200,600,111.16
1200,700,116.85
1200,800,122.5
1200,900,128.15
1200,1000,133.99
1200,1100,139.65
1200,1200,145.34
1200,1300,150.99
1200,1400,156.73
1200,1500,162.43
1200,1600,168.08
1200,1700,173.92
1200,1800,179.57
1300,500,109.22
1300,600,115.1
1300,700,121.01
1300,800,126.89
1300,900,132.76
1300,1000,138.83
1300,1100,144.7
1300,1200,150.62
1300,1300,156.49
1300,1400,162.46
1300,1500,168.38
1300,1600,174.25
1300,1700,180.32
1300,1800,186.19
1400,500,112.94
1400,600,119.04
1400,700,125.18
1400,800,131.27
1400,900,137.37
1400,1000,143.66
1400,1100,149.76
1400,1200,155.9
1400,1300,162.0
1400,1400,168.19
1400,1500,174.33
1400,1600,180.43
1400,1700,186.71
1400,1800,192.81
1500,500,116.74
1500,600,123.06
1500,700,129.43
1500,800,135.75
1500,900,142.07
1500,1000,148.58
1500,1100,154.9
1500,1200,161.27
1500,1300,167.59
1500,1400,174.0
1500,1500,180.37
1500,1600,186.69
1500,1700,193.2
1500,1800,199.52
1600,500,120.46
1600,600,127.0
1600,700,133.59
1600,800,140.13
1600,900,146.68
1600,1000,153.41
1600,1100,159.96
1600,1200,166.55
1600,1300,173.09
1600,1400,179.73
1600,1500,186.31
1600,1600,192.86
1600,1700,199.59
1600,1800,206.14
1700,500,124.22
1700,600,130.98
1700,700,137.79
1700,800,144.56
1700,900,151.33
1700,1000,158.29
1700,1100,165.06
1700,1200,171.87
1700,1300,178.64
1700,1400,185.49
1700,1500,192.3
1700,1600,199.07
1700,1700,206.03
1700,1800,212.8
1800,500,127.93
1800,600,134.92
1800,700,141.96
1800,800,148.95
1800,900,155.94
1800,1000,163.12
1800,1100,170.11
1800,1200,177.15
1800,1300,184.14
1800,1400,191.22
1800,1500,198.25
1800,1600,205.25
1800,1700,212.42
1800,1800,219.42
1900,500,131.65
1900,600,138.86
1900,700,146.12
1900,800,153.33
1900,900,160.55
1900,1000,167.95
1900,1100,175.17
1900,1200,182.42
1900,1300,189.64
1900,1400,196.94
1900,1500,204.2
1900,1600,211.42
1900,1700,218.82
1900,1800,226.04
2000,500,135.4
2000,600,142.84
2000,700,150.32
2000,800,157.76
2000,900,165.2
2000,1000,172.83
2000,1100,180.26
2000,1200,187.74
2000,1300,195.18
2000,1400,202.71
2000,1500,210.19
2000,1600,217.63
2000,1700,225.26
2000,1800,232.7
