width,height,price
500,500,307.38
500,600,310.94
500,700,314.54
500,800,318.33
500,900,321.89
500,1000,325.63
500,1100,329.19
500,1200,332.79
500,1300,336.35
500,1400,340.0
500,1500,343.6
500,1600,347.16
500,1700,350.91
500,1800,354.47
600,500,332.59
600,600,336.38
600,700,340.43
600,800,344.21
600,900,347.99
600,1000,351.96
600,1100,355.74
600,1200,359.57
600,1300,363.35
600,1400,367.22
600,1500,371.04
600,1600,374.83
600,1700,378.79
600,1800,382.58
700,500,357.69
700,600,361.92
700,700,365.97
700,800,369.97
700,900,373.98
700,1000,378.17
700,1100,382.18
700,1200,386.22
700,1300,390.23
700,1400,394.32
700,1500,398.37
700,1600,402.38
700,1700,406.57
700,1800,410.57
800,500,382.73
800,600,386.96
800,700,391.23
800,800,395.46
800,900,399.69
800,1000,404.1
800,1100,408.33
800,1200,412.6
800,1300,416.83
800,1400,421.15
800,1500,425.42
800,1600,429.65
800,1700,434.07
800,1800,438.29
900,500,407.61
900,600,412.06
900,700,416.56
900,800,421.01
900,900,425.46
900,1000,430.1
900,1100,434.55
900,1200,439.04
900,1300,443.5
900,1400,448.04
900,1500,452.53
900,1600,456.98
900,1700,461.62
900,1800,466.07
1000,500,432.7
1000,600,437.38
1000,700,442.1
1000,800,446.77
1000,900,451.45
1000,1000,456.31
1000,1100,460.98
1000,1200,465.7
1000,1300,470.38
1000,1400,475.14
1000,1500,479.86
1000,1600,484.53
1000,1700,489.4
1000,1800,494.07
1100,500,457.52
1100,600,462.42
1100,700,467.36
1100,800,472.26
1100,900,477.16
1100,1000,482.24
1100,1100,487.14
1100,1200,492.08
1100,1300,496.98
1100,1400,501.97
1100,1500,506.91
1100,1600,511.81
1100,1700,516.89
1100,1800,521.79
1200,500,482.44
1200,600,487.56
1200,700,492.73
1200,800,497.85
1200,900,502.97
1200,1000,508.28
1200,1100,513.4
1200,1200,518.56
1200,1300,523.69
1200,1400,528.9
1200,1500,534.06
1200,1600,539.18
1200,1700,544.49
1200,1800,549.62
1300,500,508.19
1300,600,513.53
1300,700,518.92
1300,800,524.26
1300,900,529.61
1300,1000,535.14
1300,1100,540.48
1300,1200,545.87
1300,1300,551.22
1300,1400,556.65
1300,1500,562.04
1300,1600,567.39
1300,1700,572.92
1300,1800,578.26
1400,500,532.31
1400,600,537.88
1400,700,543.49
1400,800,549.06
1400,900,554.63
1400,1000,560.38
1400,1100,565.95
1400,1200,571.56
1400,1300,577.13
1400,1400,582.79
1400,1500,588.4
1400,1600,593.97
1400,1700,599.72
1400,1800,605.29
1500,500,557.28
1500,600,563.07
1500,700,568.9
1500,800,574.69
1500,900,580.49
1500,1000,586.47
1500,1100,592.26
1500,1200,598.09
1500,1300,603.88
1500,1400,609.77
1500,1500,615.6
1500,1600,621.39
1500,1700,627.37
1500,1800,633.16
1600,500,582.61
1600,600,588.63
1600,700,594.69
1600,800,600.7
1600,900,606.72
1600,1000,612.92
1600,1100,618.93
1600,1200,624.99
1600,1300,631.01
1600,1400,637.11
1600,1500,643.17
1600,1600,649.18
1600,1700,655.39
1600,1800,661.4
1700,500,607.53
1700,600,613.77
1700,700,620.05
1700,800,626.29
1700,900,632.53
1700,1000,638.95
1700,1100,645.19
1700,1200,651.47
1700,1300,657.71
1700,1400,664.04
1700,1500,670.32
1700,1600,676.56
1700,1700,682.98
1700,1800,689.22
1800,500,632.76
1800,600,639.22
1800,700,645.73
1800,800,652.19
1800,900,658.65
1800,1000,665.3
1800,1100,671.76
1800,1200,678.26
1800,1300,684.73
1800,1400,691.28
1800,1500,697.78
1800,1600,704.24
1800,1700,710.89
1800,1800,717.35
1900,500,657.4
1900,600,664.09
1900,700,670.81
1900,800,677.5
1900,900,684.19
1900,1000,691.06
1900,1100,697.74
1900,1200,704.47
1900,1300,711.15
1900,1400,717.93
1900,1500,724.66
1900,1600,731.34
1900,1700,738.21
1900,1800,744.9
2000,500,682.32
2000,600,689.23
2000,700,696.18
2000,800,703.09
2000,900,710.0
2000,1000,717.09
2000,1100,724.0
2000,1200,730.95
2000,1300,737.86
2000,1400,744.86
2000,1500,751.81
2000,1600,758.72
2000,1700,765.81
2000,1800,772.72
