width,height,price
500,500,81.27
500,600,85.79
500,700,90.35
500,800,95.1
500,900,99.63
500,1000,104.34
500,1100,108.86
500,1200,113.42
500,1300,117.95
500,1400,122.56
500,1500,127.12
500,1600,131.65
500,1700,136.36
500,1800,140.88
600,500,85.03
600,600,89.78
600,700,94.79
600,800,99.54
600,900,104.28
600,1000,109.22
600,1100,113.96
600,1200,118.75
600,1300,123.5
600,1400,128.33
600,1500,133.12
600,1600,137.87
600,1700,142.8
600,1800,147.55
700,500,88.79
700,600,93.98
700,700,98.99
700,800,103.96
700,900,108.93
700,1000,114.09
700,1100,119.06
700,1200,124.07
700,1300,129.04
700,1400,134.1
700,1500,139.11
700,1600,144.08
700,1700,149.24
700,1800,154.2
800,500,92.73
800,600,97.92
800,700,103.16
800,800,108.35
800,900,113.54
800,1000,118.92
800,1100,124.11
800,1200,129.35
800,1300,134.54
800,1400,139.82
800,1500,145.06
800,1600,150.25
800,1700,155.63
800,1800,160.82
900,500,96.44
900,600,101.86
900,700,107.32
900,800,112.73
900,900,118.15
900,1000,123.75
900,1100,129.17
900,1200,134.63
900,1300,140.04
900,1400,145.55
900,1500,151.01
900,1600,156.42
900,1700,162.03
900,1800,167.44
1000,500,100.2
1000,600,105.84
1000,700,111.52
1000,800,117.16
1000,900,122.8
1000,1000,128.63
1000,1100,134.27
1000,1200,139.95
1000,1300,145.59
1000,1400,151.32
1000,1500,157.0
1000,1600,162.64
1000,1700,168.46
1000,1800,174.1
1100,500,103.92
1100,600,109.78
1100,700,115.68
1100,800,121.55
1100,900,127.41
1100,1000,133.46
1100,1100,139.32
1100,1200,145.23
1100,1300,151.09
1100,1400,157.04
1100,1500,162.95
1100,1600,168.81
1100,1700,174.86
1100,1800,180.72
1200,500,107.68
1200,600,113.76
1200,700,119.89
1200,800,125.97
1200,900,132.06
1200,1000,138.33
1200,1100,144.42
1200,1200,150.55
1200,1300,156.63
1200,1400,162.81
1200,1500,168.94
1200,1600,175.02
1200,1700,181.3
1200,1800,187.38
1300,500,111.39
1300,600,117.7
1300,700,124.05
1300,800,130.36
1300,900,136.67
1300,1000,143.16
1300,1100,149.47
1300,1200,155.82
1300,1300,162.13
1300,1400,168.53
1300,1500,174.89
1300,1600,181.19
1300,1700,187.69
1300,1800,194.0
1400,500,115.11
1400,600,121.64
1400,700,128.21
1400,800,134.74
1400,900,141.28
1400,1000,148.0
1400,1100,154.53
1400,1200,161.1
1400,1300,167.64
1400,1400,174.26
1400,1500,180.83
1400,1600,187.37
1400,1700,194.09
1400,1800,200.62
1500,500,118.91
1500,600,125.67
1500,700,132.46
1500,800,139.22
1500,900,145.98
1500,1000,152.92
1500,1100,159.67
1500,1200,166.47
1500,1300,173.23
1500,1400,180.07
1500,1500,186.87
1500,1600,193.63
1500,1700,200.57
1500,1800,207.33
1600,500,122.63
1600,600,129.61
1600,700,136.63
1600,800,143.61
1600,900,150.58
1600,1000,157.75
1600,1100,164.73
1600,1200,171.75
1600,1300,178.73
1600,1400,185.8
1600,1500,192.82
1600,1600,199.8
1600,1700,206.97
1600,1800,213.95
1700,500,126.38
1700,600,133.59
1700,700,140.83
1700,800,148.03
1700,900,155.24
1700,1000,162.62
1700,1100,169.83
1700,1200,177.07
1700,1300,184.27
1700,1400,191.57
1700,1500,198.81
1700,1600,206.01
1700,1700,213.4
1700,1800,220.61
1800,500,130.1
1800,600,137.53
1800,700,144.99
1800,800,152.42
1800,900,159.84
1800,1000,167.46
1800,1100,174.88
1800,1200,182.35
1800,1300,189.78
1800,1400,197.29
1800,1500,204.76
1800,1600,212.19
1800,1700,219.8
1800,1800,227.23
1900,500,133.82
1900,600,141.46
1900,700,149.15
1900,800,156.8
1900,900,164.45
1900,1000,172.29
1900,1100,179.94
1900,1200,187.63
1900,1300,195.28
1900,1400,203.02
1900,1500,210.71
1900,1600,218.36
1900,1700,226.19
1900,1800,233.84
2000,500,137.57
2000,600,145.44
2000,700,153.36
2000,800,161.23
2000,900,169.1
2000,1000,177.16
2000,1100,185.04
2000,1200,192.95
2000,1300,200.82
2000,1400,208.79
2000,1500,216.7
2000,1600,224.57
2000,1700,232.63
2000,1800,240.5
