width,height,price
500,500,80.62
500,600,84.18
500,700,87.78
500,800,91.57
500,900,95.13
500,1000,98.87
500,1100,102.43
500,1200,106.03
500,1300,109.59
500,1400,113.24
500,1500,116.84
500,1600,120.4
500,1700,124.15
500,1800,127.7
600,500,85.22
600,600,89.01
600,700,93.06
600,800,96.84
600,900,100.62
600,1000,104.59
600,1100,108.37
600,1200,112.2
600,1300,115.98
600,1400,119.85
600,1500,123.67
600,1600,127.46
600,1700,131.42
600,1800,135.21
700,500,89.82
700,600,94.05
700,700,98.1
700,800,102.1
700,900,106.11
700,1000,110.3
700,1100,114.3
700,1200,118.35
700,1300,122.36
700,1400,126.45
700,1500,130.5
700,1600,134.5
700,1700,138.7
700,1800,142.7
800,500,94.59
800,600,98.82
800,700,103.09
800,800,107.32
800,900,111.55
800,1000,115.97
800,1100,120.19
800,1200,124.47
800,1300,128.69
800,1400,133.01
800,1500,137.28
800,1600,141.51
800,1700,145.93
800,1800,150.16
900,500,99.15
900,600,103.6
900,700,108.09
900,800,112.54
900,900,117.0
900,1000,121.63
900,1100,126.09
900,1200,130.58
900,1300,135.03
900,1400,139.57
900,1500,144.07
900,1600,148.52
900,1700,153.16
900,1800,157.61
1000,500,103.74
1000,600,108.41
1000,700,113.13
1000,800,117.81
1000,900,122.48
1000,1000,127.34
1000,1100,132.02
1000,1200,136.73
1000,1300,141.41
1000,1400,146.18
1000,1500,150.89
1000,1600,155.57
1000,1700,160.43
1000,1800,165.11
1100,500,108.29
1100,600,113.19
1100,700,118.13
1100,800,123.03
1100,900,127.93
1100,1000,133.01
1100,1100,137.91
1100,1200,142.85
1100,1300,147.75
1100,1400,152.74
1100,1500,157.68
1100,1600,162.58
1100,1700,167.66
1100,1800,172.56
1200,500,112.88
1200,600,118.0
1200,700,123.17
1200,800,128.29
1200,900,133.41
1200,1000,138.72
1200,1100,143.84
1200,1200,149.01
1200,1300,154.13
1200,1400,159.34
1200,1500,164.5
1200,1600,169.63
1200,1700,174.94
1200,1800,180.06
1300,500,117.43
1300,600,122.78
1300,700,128.17
1300,800,133.51
1300,900,138.86
1300,1000,144.39
1300,1100,149.73
1300,1200,155.12
1300,1300,160.47
1300,1400,165.9
1300,1500,171.29
1300,1600,176.63
1300,1700,182.17
1300,1800,187.51
1400,500,121.99
1400,600,127.55
1400,700,133.16
1400,800,138.73
1400,900,144.3
1400,1000,150.06
1400,1100,155.62
1400,1200,161.23
1400,1300,166.8
1400,1400,172.46
1400,1500,178.07
1400,1600,183.64
1400,1700,189.4
1400,1800,194.97
1500,500,126.63
1500,600,132.42
1500,700,138.25
1500,800,144.04
1500,900,149.83
1500,1000,155.81
1500,1100,161.61
1500,1200,167.44
1500,1300,173.23
1500,1400,179.11
1500,1500,184.95
1500,1600,190.74
1500,1700,196.72
1500,1800,202.51
1600,500,131.18
1600,600,137.19
1600,700,143.25
1600,800,149.26
1600,900,155.28
1600,1000,161.48
1600,1100,167.5
1600,1200,173.55
1600,1300,179.57
1600,1400,185.67
1600,1500,191.73
1600,1600,197.75
1600,1700,203.95
1600,1800,209.96
1700,500,135.77
1700,600,142.01
1700,700,148.29
1700,800,154.53
1700,900,160.77
1700,1000,167.19
1700,1100,173.43
1700,1200,179.71
1700,1300,185.95
1700,1400,192.28
1700,1500,198.56
1700,1600,204.8
1700,1700,211.22
1700,1800,217.46
1800,500,140.32
1800,600,146.78
1800,700,153.29
1800,800,159.75
1800,900,166.21
1800,1000,172.86
1800,1100,179.32
1800,1200,185.83
1800,1300,192.29
1800,1400,198.84
1800,1500,205.34
1800,1600,211.81
1800,1700,218.45
1800,1800,224.92
1900,500,144.87
1900,600,151.56
1900,700,158.28
1900,800,164.97
1900,900,171.66
1900,1000,178.53
1900,1100,185.21
1900,1200,191.94
1900,1300,198.62
1900,1400,205.4
1900,1500,212.13
1900,1600,218.81
1900,1700,225.68
1900,1800,232.37
2000,500,149.47
2000,600,156.37
2000,700,163.32
2000,800,170.23
2000,900,177.14
2000,1000,184.24
2000,1100,191.15
2000,1200,198.1
2000,1300,205.0
2000,1400,212.0
2000,1500,218.95
2000,1600,225.86
2000,1700,232.96
2000,1800,239.87
