width,height,price
500,500,84.71
500,600,88.51
500,700,92.36
500,800,96.4
500,900,100.21
500,1000,104.2
500,1100,108.01
500,1200,111.86
500,1300,115.67
500,1400,119.92
500,1500,123.77
500,1600,127.58
500,1700,131.57
500,1800,135.38
600,500,89.66
600,600,93.69
600,700,97.99
600,800,102.02
600,900,106.05
600,1000,110.27
600,1100,114.3
600,1200,118.37
600,1300,122.41
600,1400,126.88
600,1500,130.95
600,1600,134.98
600,1700,139.2
600,1800,143.23
700,500,94.6
700,600,99.08
700,700,103.38
700,800,107.63
700,900,111.89
700,1000,116.33
700,1100,120.58
700,1200,124.88
700,1300,129.13
700,1400,133.83
700,1500,138.13
700,1600,142.38
700,1700,146.82
700,1800,151.08
800,500,99.73
800,600,104.2
800,700,108.72
800,800,113.2
800,900,117.68
800,1000,122.34
800,1100,126.82
800,1200,131.34
800,1300,135.82
800,1400,140.74
800,1500,145.26
800,1600,149.74
800,1700,154.4
800,1800,158.88
900,500,104.63
900,600,109.33
900,700,114.07
900,800,118.77
900,900,123.47
900,1000,128.36
900,1100,133.06
900,1200,137.81
900,1300,142.51
900,1400,147.65
900,1500,152.39
900,1600,157.1
900,1700,161.98
900,1800,166.69
1000,500,109.57
1000,600,114.49
1000,700,119.46
1000,800,124.38
1000,900,129.31
1000,1000,134.42
1000,1100,139.34
1000,1200,144.31
1000,1300,149.24
1000,1400,154.6
1000,1500,159.57
1000,1600,164.5
1000,1700,169.61
1000,1800,174.53
1100,500,114.47
1100,600,119.62
1100,700,124.81
1100,800,129.95
1100,900,135.1
1100,1000,140.44
1100,1100,145.58
1100,1200,150.77
1100,1300,155.92
1100,1400,161.51
1100,1500,166.7
1100,1600,171.85
1100,1700,177.19
1100,1800,182.34
1200,500,119.41
1200,600,124.78
1200,700,130.2
1200,800,135.57
1200,900,140.94
1200,1000,146.5
1200,1100,151.87
1200,1200,157.28
1200,1300,162.65
1200,1400,168.47
1200,1500,173.88
1200,1600,179.25
1200,1700,184.81
1200,1800,190.18
1300,500,124.31
1300,600,129.91
1300,700,135.54
1300,800,141.14
1300,900,146.73
1300,1000,152.51
1300,1100,158.11
1300,1200,163.74
1300,1300,169.34
1300,1400,175.38
1300,1500,181.01
1300,1600,186.61
1300,1700,192.39
1300,1800,197.99
1400,500,129.21
1400,600,135.03
1400,700,140.89
1400,800,146.71
1400,900,152.53
1400,1000,158.53
1400,1100,164.35
1400,1200,170.21
1400,1300,176.03
1400,1400,182.29
1400,1500,188.15
1400,1600,193.97
1400,1700,199.97
1400,1800,205.79
1500,500,134.2
1500,600,140.25
1500,700,146.33
1500,800,152.37
1500,900,158.41
1500,1000,164.64
1500,1100,170.68
1500,1200,176.76
1500,1300,182.8
1500,1400,189.29
1500,1500,195.37
1500,1600,201.41
1500,1700,207.64
1500,1800,213.68
1600,500,139.11
1600,600,145.37
1600,700,151.67
1600,800,157.94
1600,900,164.2
1600,1000,170.66
1600,1100,176.92
1600,1200,183.23
1600,1300,189.49
1600,1400,196.2
1600,1500,202.51
1600,1600,208.77
1600,1700,215.22
1600,1800,221.49
1700,500,144.05
1700,600,150.53
1700,700,157.06
1700,800,163.55
1700,900,170.04
1700,1000,176.71
1700,1100,183.2
1700,1200,189.73
1700,1300,196.22
1700,1400,203.15
1700,1500,209.68
1700,1600,216.17
1700,1700,222.84
1700,1800,229.33
1800,500,148.95
1800,600,155.66
1800,700,162.41
1800,800,169.12
1800,900,175.83
1800,1000,182.73
1800,1100,189.44
1800,1200,196.2
1800,1300,202.91
1800,1400,210.06
1800,1500,216.82
1800,1600,223.53
1800,1700,230.43
1800,1800,237.14
1900,500,153.85
1900,600,160.78
1900,700,167.76
1900,800,174.69
1900,900,181.63
1900,1000,188.75
1900,1100,195.68
1900,1200,202.66
1900,1300,209.6
1900,1400,216.97
1900,1500,223.95
1900,1600,230.88
1900,1700,238.01
1900,1800,244.94
2000,500,158.79
2000,600,165.95
2000,700,173.15
2000,800,180.31
2000,900,187.46
2000,1000,194.81
2000,1100,201.97
2000,1200,209.17
2000,1300,216.32
2000,1400,223.93
2000,1500,231.13
2000,1600,238.28
2000,1700,245.63
2000,1800,252.79
