PATH,VALUE
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][1][@code],SL_NP8300
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][1][@position],1
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][1][@length],0
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][1][@height],0
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][1][PERIPHERAL_PROFILE_OPTION][PPD_wzmocnienie][PPD_wzmocnienie],0
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][1][PERIPHERAL_PROFILE_OPTION][PPD_montaz][PPD_montaz],0
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][1][PERIPHERAL_PROFILE_OPTION][PPD_zawsze_bialy][PPD_zawsze_bialy],0
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][1][PERIPHERAL_PROFILE_OPTION][PPD_Aluskin][PPD_Aluskin],PPD_Aluskin_nie
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][1][@deduction],0
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][999][@code],
WORKSHOP[CONFIGS][CONFIG][0][PERIPHERAL_PROFILES][PERIPHERAL_PROFILE][999][@position],2
