width,height
500,500
500,600
500,700
500,800
500,900
500,1000
500,1100
500,1200
500,1300
500,1400
500,1500
500,1600
500,1700
500,1800
600,500
600,600
600,700
600,800
600,900
600,1000
600,1100
600,1200
600,1300
600,1400
600,1500
600,1600
600,1700
600,1800
700,500
700,600
700,700
700,800
700,900
700,1000
700,1100
700,1200
700,1300
700,1400
700,1500
700,1600
700,1700
700,1800
800,500
800,600
800,700
800,800
800,900
800,1000
800,1100
800,1200
800,1300
800,1400
800,1500
800,1600
800,1700
800,1800
900,500
900,600
900,700
900,800
900,900
900,1000
900,1100
900,1200
900,1300
900,1400
900,1500
900,1600
900,1700
900,1800
1000,500
1000,600
1000,700
1000,800
1000,900
1000,1000
1000,1100
1000,1200
1000,1300
1000,1400
1000,1500
1000,1600
1000,1700
1000,1800
1100,500
1100,600
1100,700
1100,800
1100,900
1100,1000
1100,1100
1100,1200
1100,1300
1100,1400
1100,1500
1100,1600
1100,1700
1100,1800
1200,500
1200,600
1200,700
1200,800
1200,900
1200,1000
1200,1100
1200,1200
1200,1300
1200,1400
1200,1500
1200,1600
1200,1700
1200,1800
1300,500
1300,600
1300,700
1300,800
1300,900
1300,1000
1300,1100
1300,1200
1300,1300
1300,1400
1300,1500
1300,1600
1300,1700
1300,1800
1400,500
1400,600
1400,700
1400,800
1400,900
1400,1000
1400,1100
1400,1200
1400,1300
1400,1400
1400,1500
1400,1600
1400,1700
1400,1800
1500,500
1500,600
1500,700
1500,800
1500,900
1500,1000
1500,1100
1500,1200
1500,1300
1500,1400
1500,1500
1500,1600
1500,1700
1500,1800
1600,500
1600,600
1600,700
1600,800
1600,900
1600,1000
1600,1100
1600,1200
1600,1300
1600,1400
1600,1500
1600,1600
1600,1700
1600,1800
1700,500
1700,600
1700,700
1700,800
1700,900
1700,1000
1700,1100
1700,1200
1700,1300
1700,1400
1700,1500
1700,1600
1700,1700
1700,1800
1800,500
1800,600
1800,700
1800,800
1800,900
1800,1000
1800,1100
1800,1200
1800,1300
1800,1400
1800,1500
1800,1600
1800,1700
1800,1800
1900,500
1900,600
1900,700
1900,800
1900,900
1900,1000
1900,1100
1900,1200
1900,1300
1900,1400
1900,1500
1900,1600
1900,1700
1900,1800
2000,500
2000,600
2000,700
2000,800
2000,900
2000,1000
2000,1100
2000,1200
2000,1300
2000,1400
2000,1500
2000,1600
2000,1700
2000,1800
